res,id,msg,translation,comment
0,1,"It was a Paris daily tabloid newspaper full of sex, scandal and sports results.","היה זה צהובון יומי פריזי מלא בסקס, שערוריות ותוצאות ספורט.",
0,2,"It was a thin, supple twig of hazel.",היתה זו זמורת לוז דקה וגמישה.,
0,4,The towel was soaked through with water.,המגבת היתה ספוגה כולה במים.,
0,5,The towel had dried out but was still damp.,המגבת התייבשה אך עדיין נותרה לחה.,
0,6,The towel had dried out and was barely damp.,המגבת התייבשה וכמעט ולא נותר בה לחות.,
0,7,It was a key ring bearing one large brass key and a tag which read 'Hotel Ubu'.,היה זה מחזיק מפתחות נושא מפתח נחושת גדול בודד ותווית עם השם 'מלון הובו'.,
0,8,It was the bright red ball I'd got from the juggler.,היה זה כדור אדום נוצץ שקיבלתי מהלהטוטן.,
0,9,The statuette looked pretty sorry for itself after its fall; chipped with both arms broken off.,נראה שהנפילה עשתה רע לפסלון; שתי זרועותיו מנופצות.,
0,10,"The nose was hollow. Printed on the inside were the words: `La Risée du Monde, Paris'.","האף היה חלול. בתוכו הודפסו המילים הבאות: 'לה ריס דה מונדה, פריז'.",
0,11,"It was a bright red plastic nose, part of a clown's costume.","היה זה אף פלסטיק אדום זוהר, חלק מתחפושת ליצן.",
0,12,It was hard to believe it was the same chalice. Now the light gleamed off its perfect surface.,היה קשה להאמין שזה אותו גביע. העכשיו האור נוצץ על פניו המושלמים.,
0,13,Fifty bucks! In the States I'd have thought of it as a good night out. Here in Marib it represented hard currency.,"חמישים דולר! בארה""ב הייתי יוצא איתם לבילוי לילי. כאן במאריב הם מייצגים מטבע קשה.",
0,14,It was Nico's photograph of the man we suspected of killing Plantard.,היה זה תצלום שניקו צילמה את האיש החשוד ברצח פלנטרד.,
0,15,"On the key ring was a big, old key that looked like it might fit the excavation door.",על מחזיק המפתחות היה מפתח גדול וישן שנראה עשוי להתאים לדלת החפירות.,
0,17,Now I'd substituted the fake key for the excavation key. It looked okay but felt false.,עכשיו החלפתי את המפתח המזוייף במפתח החפירות. הוא נראה טוב אבל הרגיש מזוייף.,
0,18,"It was a short piece of wire, twisted into a rough circle.","היתה זו פיסת חוט תיל, מעוקמת לעיגול גס.",
0,19,It was a large blue gemstone.,היתה זו אבן חן כחולה גדולה.,
0,20,The greasepaint had worked magic. Now it looked like aged marble instead of cheap plaster.,האיפור פעל כמו קסם. עכשיו זה נראה כמו ולא טיח זול.,
0,21,The stick I'd broken off was surprisingly hard and inflexible.,המקל ששברתי היה קשה ולא גמיש למרבה ההפתעה.,
0,25,"It was the card I'd found in the hotel bedroom. It read 'Thomas Moerlin, Grüber Electronics Corporation'.","היה זה כרטיס שמצאתי בחדר המלון. כתוב עליו 'תומס מורלין, תאגיד גרובר אלקטרוניקה'.",
0,26,It was a metal rod with a handle at one end and a short crosspiece at the other.,היה זה מוט ברזל עם ידית בקצהו האחד ופיסה בצורת צלב בקצה השני.,
0,27,It was the ancient manuscript which Khan had stolen from Plantard.,היתה זו מגילה עתיקה שקאן גנב מפלנטרד.,
0,28,The matchbook bore a pattern of swirling color and the words: `Club Alamut'.,על קופסת הגפרורים מודפסים דוגמה של צבעים מסתחררים והמילים: 'מועדון אלמוט'.,
0,29,It was the scrap of material I'd found in the sewer.,היתה זו פיסת חומר שמצאתי בתעלות הביוב.,
