file,noun,verb,condition,sequence,talker,padding,text,translation,comment_padding,comment_text
811.MSG,1,0,0,1,99,00000000,"      EcoQuest
The Search for Cetus
   Version: 1.1   ",אקו קווסט 1: החיפוש אחר סיטוס גרסא 1.1,36bba82b0100,
0.msg,1,0,1,1,98,00000000,Restart game,התחילו את המשחק מההתחלה.,,
0.msg,1,0,1,2,98,00000000,"""I don't have anything in my backpack right now.  Bummer.""",תיק הגב שלי ריק כרגע. באסה.,,
0.msg,1,0,1,3,98,00000000,   ,,,
0.msg,1,0,1,4,98,00000000,This directory/disk can hold no more games. You must replace one of your old saved games or use Change Directory to save on a different directory/disk. ,,,
0.msg,1,0,1,5,98,00000000,Restore ,שחזור,,
0.msg,1,0,1,6,98,00000000,  Save   ,שמירה,,
0.msg,1,0,1,7,98,00000000,Select the game that you would like to restore. ,בחרו את המשחק שתרצו לשחזר,,
0.msg,1,0,1,8,98,00000000,Type the description of this game. ,הקלידו את תיאור השמירה,,
0.msg,1,0,1,9,98,00000000,Are you sure you want to delete this saved game? ,בטוחים שתרצו למחוק את המשחק השמור הזה?,,
0.msg,1,0,1,10,98,00000000, No  ,לא,,
0.msg,1,0,1,11,98,00000000,Yes ,כן,,
0.msg,1,0,1,12,98,00000000,Ok ,אישור,,
0.msg,1,0,1,13,98,00000000,Cancel ,ביטול,,
0.msg,1,0,1,14,98,00000000,New save-game directory: ,,,
0.msg,1,0,1,15,98,00000000,"%s

is not a valid directory. ",,,
0.msg,1,0,1,16,98,00000000,You must type a description for the game. ,,,
0.msg,1,0,1,17,98,00000000,"Change
Directory ",,,
0.msg,1,0,1,18,98,00000000, Delete ,מחיקה,,
0.msg,1,0,1,19,98,00000000,Replace ,,,
0.msg,1,0,1,20,98,00000000,with: ,,,
0.msg,1,0,1,21,98,00000000,Restore a Game ,שחזור משחק ישן,,
0.msg,1,0,1,22,98,00000000,Save a Game ,שמירת משחק,,
0.msg,1,0,1,23,98,00000000,%ssg.dir ,,,
0.msg,1,0,1,24,98,00000000,Your save game disk is full. You must either use another disk or save over an existing saved game.,,,
0.msg,1,0,1,25,98,00000000,That game was saved under a different interpreter. It cannot be restored.,,,
0.msg,1,0,1,26,98,00000000,"Free Heap: %u Bytes
Largest ptr: %u Bytes
FreeHunk: %u KBytes
Largest Hunk: %u Bytes",,,
0.msg,1,0,1,27,98,00000000,Please insert your %s disk in drive %s.,,,
0.msg,1,0,1,28,98,00000000,SAVE GAME,,,
0.msg,1,0,1,29,98,00000000,GAME,,,
0.msg,1,0,0,1,98,00000000,"""The About button will give you info on other neat Sierra games."" ",כפתור האודות ייתן לכם מידע על משחקים מגניבים אחרים של  סיירה.,,
0.msg,1,0,0,3,98,00000000,*** NO MESSAGE *** ,,,
0.msg,1,0,0,4,98,00000000,*** NO MESSAGE ***,,,
0.msg,1,0,0,5,98,00000000,*** NO MESSAGE ***,,,
0.msg,1,0,0,6,98,00000000,"""Aw! Are you sure you wanna stop playing now?"" ",אוו! האם אתם בטוחים שאתם רוצים להפסיק לשחק עכשיו?,,
0.msg,1,0,0,7,98,00000000,"Sorry, gotta Quit ",מצטערים! חייבים להפסיק עכשיו,,
0.msg,1,0,0,8,98,00000000,Let's Play some more! ,בואו נשחק עוד קצת!,,
0.msg,1,0,0,9,98,00000000,"""Are you sure you want to start all OVER?"" ",בטוחים שאתם רוצים להתחיל לשחק את כל המשחק מההתחלה?,,
0.msg,1,0,0,10,98,00000000,"Yup, Restart ","יאפ, התחילו מחדש",,
0.msg,1,0,0,19,98,00000000,"""You don't have this icon yet.""  ",הכפתור הזה עדיין אינו פעיל.,,
0.msg,1,0,0,34,98,00000000,EcoQuest 1: The Search for Cetus  %u of %u pts.    ,אקו קווסט 1: החיפוש אחר סיטוס  %u מתוך %u.,,
0.msg,1,0,0,35,98,00000000,Select: ,,,
0.msg,1,0,0,36,98,00000000,Restore saved game ,שחזרו משחק ישן.,,
0.msg,1,50,0,1,98,00000000,"""This window shows you what item in my backpack is active right now.""   ",החלון הזה מראה לכם איזה פריט בתיק הגב שלי פעיל כרגע.,,
0.msg,1,65,0,1,98,00000000,"""This button gives you info about other neat Sierra games.""",הכפתור הזה יתן לכם מידע על משחקים מגניבים אחרים של סיירה.,,
0.msg,1,59,0,1,98,00000000,"""This lever raises and lowers the level of the graphics detail.""  ",הידית הזו מעלה ומורידה את רמת פירוט התמונה.,,
0.msg,1,66,0,1,98,00000000,"""This button exits the menu."" ",הכפתור הזה ייצא מהתפריט.,,
0.msg,1,64,0,1,98,00000000,"""This button lets you leave the game so you can do your homework."" ",הכפתור הזה יאפשר לכם לצאת מהמשחק כדי שתוכלו ללכת לעשות שיעורי בית.,,
0.msg,1,63,0,1,98,00000000,"""This button restarts the game from the beginning."" ",הכפתור הזה יתחיל את המשחק מההתחלה.,,
0.msg,1,67,0,1,98,00000000,"""This button lets you restore an old saved game.""   ",הכפתור הזה מאפשר לכם לטעון משחק ישן.,,
0.msg,1,62,0,1,98,00000000,"""This button lets you save your game.""   ",הכפתור הזה מאפשר לכם לשמור את המשחק.,,
0.msg,1,68,0,1,98,00000000,This button lets you change how you talk to anyone or anything on the main screen.,הכפתור הזה מאפשר לכם לשנות איך תדברו עם מישהו או אל משהו במסך הראשי.,,
0.msg,1,60,0,1,98,00000000,"""This lever adjusts how fast I go.""  ",הידית הזו מעלה ומורידה את מהירות ההליכה/שחייה שלי.,,
0.msg,1,61,0,1,98,00000000,"""This lever adjusts the sound volume.""  ",הידית הזו מעלה ומורידה את עוצמת השמע.,,
0.msg,1,53,0,1,98,00000000,"""This icon lets you do game stuff - like save or quit or set volume and speed.""  ","הכפתור הזה מאפשר לכם לעשות דברים שקשורים במשחק - כמו לשמור, לצאת מהמשחק או לשנות את עוצמת השמע או מהירות התנועה במשחק.",,
0.msg,1,47,0,1,98,00000000,"""The Hand lets me do things on the screen - like pick up stuff or open doors.""          ",כפתור היד נותן לי לעשות דברים על המסך - כמו להרים דברים או לפתוח דלתות.,,
0.msg,1,54,0,1,98,00000000,"""This icon tells you about other icons.""   ",הכפתור הזה יספר לכם מידע נוסף על כפתורים אחרים.,,
0.msg,1,58,0,1,98,00000000,"""The Arrow lets you pick an item to use on the main screen."" ",כפתור החץ יאפשר לכם לבחור פריט במסך הראשי.,,
0.msg,1,57,0,1,98,00000000,"""The Hand lets you try to 'do' something with an item in my backpack.""   ",היד תעזור לכם לעשות דברים עם פריטים בתיק הגב שלי.,,
0.msg,1,56,0,1,98,00000000,"""The Eye will let you get neat descriptions of my stuff.""  ",העין תאפשר לכם לקבל תיאורים על הדברים שלי.,,
0.msg,1,51,0,1,98,00000000,"""This icon shows you what I've got in my backpack.""     ",הכפתור הזה מראה לכם מה יש לי בתיק הגב שלי.,,
0.msg,1,55,0,1,98,00000000,"""Click on the OK button to go back to the game.""  ",לחצו על 'יש'  כדי לחזור למשחק.,,
0.msg,1,48,0,1,98,00000000,"""The Eye will tell you about everything you look at! Use it a lot 'cause it's really important.""      ",כפתור העין יספר לכם על כל הדברים שאתם מסתכלים עליהם! השתמשו בו הרבה כי זה ממש חשוב.,,
0.msg,1,52,0,1,98,00000000,"""This icon lets you talk to anyone or anything on the main screen.""       ",הכפתור הזה מאפשר לכם לדבר עם כל אחד או כל דבר במסך הראשי.,,
0.msg,1,49,0,1,98,00000000,"""My Garbage/Recycle Bag is what I use to clean up trash when I dive. Cleaning up the environment while you explore will get you extra points.""    ",כפתור שקית האשפה/סל המחזור הוא מה שאני משתמש בו כדי לנקות את הזבל כשאני צולל. לנקות את הסביבה שלי כשאני מטייל ייתן לכם נקודות בונוס.,,
0.msg,1,46,0,1,98,00000000,"""The Walk/Swim icon moves me around.""    ",כפתור ההליכה/שחייה יזיז אותי ממקום למקום.,,
1.msg,2,0,1,1,3,00000001,"""Nope.""",לא.,,
1.msg,2,0,1,2,3,00000001,"""I hate it when you do that, Delphineus.""","אני שונא כשאתה עושה את זה, דלפיניוס.",,
1.msg,2,0,1,3,3,00000001,"""No, who?""","לא, מי?",,
1.msg,2,0,1,4,3,00000001,"""I don't get it.""",לא הבנתי.,,
1.msg,2,0,1,5,3,00000001,"""Oohhhhhhhh.""",אהההההההההההההה.,,
1.msg,2,0,1,6,3,00000001,"""Really?  What happened?""",באמת? מה קרה?,,
1.msg,2,0,1,7,3,00000001,"""That's not funny."" ",זה לא מצחיק.,,
1.msg,2,0,1,8,3,00000001,"""Now you sound like my dad.""",עכשיו אתה נשמע כמו אבא שלי.,,
1.msg,2,0,1,9,3,00000001,"""Waiter, check please?""","מלצר, חשבון בבקשה?",,
1.msg,2,0,1,10,3,00000001,"""Thanks.""",תודה.,,
1.msg,2,0,1,11,3,00000001,"""Really?""",באמת?,,
1.msg,2,0,1,12,3,00000001,"""Booooooooo!""",בווווווווווווווווווז!,,
1.msg,2,0,1,13,3,00000001,"""Oh, I'm just kidding, you're the best joke-teller in the ocean.""",אני צוחק. אתה מספר הבדיחות הכי טוב באוקיינוס.,,
1.msg,2,0,1,14,3,00000001,"""I've heard that before, but I don't believe it.""","שמעתי על זה, אבל אני לא מאמין בזה.",,
