חדר,שם,פועל,תנאי,רצף,דובר,מקור,תרגום,הערות
0,0,0,0,1,99,"That would probably do something, but nothing you need to do now.",,
0,0,1,0,1,99,That's just another bit of authentic Western scenery.,,
0,0,2,0,1,99,You can't think of anything to say to that.,,
0,0,3,0,1,99,"You can't walk there; at least, not thisaway.",,
0,0,4,0,1,99,There's no need to touch that.,,
0,0,6,0,1,99,That just doesn't work like that.,,
0,1,7,0,1,98,"Click here to change to the Move cursor, then click the Move cursor on the main screen. Freddy will walk to that spot (or as close to it as he can).",,
0,1,7,0,2,98,"If you have a two-button mouse, click the right mouse button to cycle through all the available cursors without returning to this Icon Bar.",,
0,1,7,0,3,98,"If you have a three-button mouse, click the middle mouse button to switch between the Move cursor and the previous cursor.",,
0,2,7,0,1,98,"Click here to change to the Look cursor, then click the Look cursor on the main screen to look at things.",,
0,3,7,0,1,98,"Click here to change to the Hand cursor, then click the Hand cursor on the main screen to do things.",,
0,4,7,0,1,98,"Click here to change to the Talk cursor, then click the Talk cursor on characters in the game to speak with them.",,
0,5,0,1,1,98,"Do you really want to skip ahead and possibly miss the best part of the whole game (heh, heh, heh)?",,
0,5,0,2,1,98,Yes,,
0,5,0,3,1,98,Oops,,
0,5,0,4,1,98,You're so impatient!,,
0,6,7,0,1,98,Click here (or press <Ctrl-I> or <Tab>) to see what you are carrying in Inventory.,,
0,7,7,0,1,98,"Click here (or press <Ctrl-C>) to bring up the Control Panel, where you may adjust how the game works.",,
0,8,7,0,1,98,"Click here to change to the Question Mark cursor, then pass the Question Mark over the other icons to learn what they do.",,
0,9,7,0,1,98,"After you select an inventory item, it is displayed here. To use that item in the game, first click here to make it your cursor, then click that cursor on the main screen.",,
0,9,7,0,2,98,"If this window is empty, click on the inventory icon to open the inventory window, then select an item there. (The inventory icon is the saddle bag just to the right of your Question Mark.)",,
0,10,7,0,1,98,Click this here icon to leave the present scene.,,
0,11,0,0,1,98,You're way too busy right now to do that. Try again later.,,
0,12,0,0,1,98,"Going to spend a little time catching up on your professional reading, Freddy?",,
0,12,0,4,1,98,Don't quit now!,,
0,12,0,8,1,98,Quit,,
0,12,0,9,1,98,Oops,,
0,13,7,0,1,98,"When this icon is available, you may click here to ""Fast Forward"" to the next interactive part of the game.",,
0,14,7,0,1,98,"This area displays the number of points you have earned so far, followed by the maximum score possible.",,
0,18,0,1,1,98,Do you really want to start the game over again from the very beginning?,,
0,18,0,4,1,98,Restart the Game?,,
0,18,0,5,1,98,Restart,,
0,18,0,6,1,98,Oops,,
0,19,0,0,1,98,Restore,,
0,19,0,0,2,98,Continue,,
0,19,0,0,3,98,Play,,
0,19,0,0,4,98,Help,,
0,19,0,0,5,98,Quit,,
0,19,0,0,6,98,Prologue,,
0,19,0,0,7,98,Restart,,
0,21,0,0,1,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
Your Password Code is: 100101110101100011010101011010001.
",,
0,21,0,0,2,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
This is a work of fiction. Any resemblance between the characters and
the events in this game is strictly a result of your overactive imagination.
Deal with it.
",,
0,21,0,0,3,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
Now go out and play. Get out of the house. It's a beautiful day outside.
",,
0,21,0,0,4,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
If there are any other games you'd like us to make for you, just let us know.
",,
0,21,0,0,5,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
Can we go home now?
",,
0,21,0,0,6,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
Remember: our game is YOUR game. Play it whenever you like.
",,
0,21,0,0,7,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
Remember: real life rots your brain. Play more computer games.
",,
0,21,0,0,8,98,"Copyright (c) 1994 Sierra On-Line.
Copyright (c) 1993 Screw Loose Amusements.
Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST.
Freddy Pharkas rules! All other games... TAKE A BURN!
",,
0,22,0,0,1,99,You're beginning to feel a little light-headed. Better use your gas mask!,,
0,23,0,7,1,99,Ahh! Now you can see this prescription the way Doc wrote it.,,
10,1,0,0,1,98,Memory fragmented,,
10,1,0,1,1,98,So what? ,,
10,1,0,2,1,98,Debug ,,
10,2,0,0,1,98,       < Pick a Puzzle >       ,,
10,2,0,0,2,98,< Restore >,,
10,2,0,0,3,98,Ready for Business,,
10,2,0,0,4,98,    Prescription #1    ,,
10,2,0,0,5,98,  Prescription #2  ,,
10,2,0,0,6,98,  Prescription #3  ,,
10,2,0,0,7,98,Corrected Prescription,,
10,2,0,0,8,98,  Preparation G  ,,
10,2,0,0,9,98,  Sheriff Shutdown  ,,
10,2,0,0,10,98,       Gas Mask       ,,
10,2,0,0,11,98,  Flatulent Horses  ,,
10,2,0,0,12,98,  Snail Stampede  ,,
10,2,0,0,13,98,       Lemmings        ,,
10,2,0,0,14,98,  Hire a Sidekick  ,,
10,2,0,0,15,98,Contaminated Water,,
10,2,0,0,16,98,Burning of Coarsegold,,
10,2,0,0,17,98,  Madame Ovaree  ,,
10,2,0,0,18,98,    Arm Yourself    ,,
10,2,0,0,19,98,    Target Practice    ,,
10,2,0,0,20,98,Quickdraw Practice,,
10,2,0,0,21,98,     Dress Up     ,,
10,2,0,0,22,98,      Card Shark      ,,
10,2,0,0,23,98,  Rowdy Cowhands  ,,
10,2,0,0,24,98, Lever Brothers ,,
10,2,0,0,25,98,   Kenny's Quickdraw   ,,
10,2,0,0,26,98,Schoolhouse Showdown,,
10,2,0,0,27,98,Trapped in Basement,,
10,2,0,0,28,98,    Sword Fight    ,,
10,2,0,0,29,98,   Killing Kenny    ,,
10,2,0,0,30,98,   < Act 1 >  ,,
10,2,0,0,31,98,   < Act 2 >  ,,
10,2,0,0,32,98,   < Act 3 >  ,,
10,2,0,0,33,98,   < Act 4 >  ,,
10,2,0,0,34,98,< Epilogue >,,
10,2,0,0,35,98,Pick a Puzzle,,
10,2,0,4,1,98,"Where to, Pardner?",,
10,2,0,4,2,98,Pick a Puzzle,,
13,2,0,0,1,98,"FREDDY PHARKAS, FRONTIER PHARMACIST is brought to you in living VGA by the hombres out at Sierra On-Line, Inc. and Screw Loose Amusements.",,
13,2,0,0,2,98,"Designed and written by
 Al Lowe and Josh Mandel",,
13,2,0,0,3,98,"Produced and Directed by
 Josh Mandel",,
13,2,0,0,4,98,"Authentic Western Art by
 Bob Gleason,
 Ruben Huante,
 Phy ""No Relation"" Williams,
 and Karin Young",,
13,2,0,0,5,98,"Authentic Western
 Programming by
 Steve Conrad,
 William R. Shockley,
 and Cynthia L. Swafford",,
13,2,0,0,6,98,"Authentic Western
 CD-ROM Conversions by
 Steve Conrad
 and William Shockley",,
13,2,0,0,7,98,"Authentic Western
 Audio Engineering by

 Dan Kehler,
 Rick Spurgeon,
 and Kelli Spurgeon",,
13,2,0,0,8,98,"Authentic Western Voices by

 Cam Clarke as Freddy Pharkas
 Neil Ross as The Narrator
 Kath Soucie as Penelope Primm
 Lewis Arquette as Whittlin' Willy
 Michael Gough as Kenny the Kid",,
13,2,0,0,9,98,"Authentic Western Voices by

 Jan Rabson as Sam Andreas
 Richard Paul as Chester Field
 Susan Silo as Helen Back
 Nicolas Guest as Srini
 Lewis Arquette as P. H. Balance",,
13,2,0,0,10,98,"Authentic Western Voices by

 Jan Rabson as Wheaton ""Aces"" Hall
 Michael Gough as Salvatore O'Hannahan
 Susan Silo as Madame Ovaree
 Nicolas Guest as Hop Singh",,
13,2,0,0,11,98,"Authentic Western Voices by

 Bill Bryant as Doc Gillespie
 Jocko Marcellino as Smithie
 Richard Paul as Sheriff ""Chicken"" Shift
 Jan Rabson as Diamond Jim Laffer",,
13,2,0,0,12,98,"Authentic Western
 Voice Direction by

 Al Lowe",,
13,2,0,0,13,98,"Authentic Western
 Voiceovers Produced by

 Dan Kehler",,
13,2,0,0,14,98,"Authentic Western
 Music & Sounds by

 Aubrey Hodges",,
13,2,0,0,15,98,"and Authentic Western
 Quality Assurance by
 Mike W. Pickhinke

",,
13,2,0,0,16,98,"Additional Animation and Mondo Thanks To:

 Jeff Crowe,
 Joan Delehanty,
 Maria Fruehe,
 Gloria Garland,
 Michael Hutchison,
 Tony Margioni,
 Jerry Moore,
 Cindy Walker,
 Chris ""Smokehouse"" Willis,
 and Deanna Yhalkee",,
13,2,0,0,17,98,"Special Guest Programming by

 Doug Oldfield,
 Carlos Escobar,
 and Brian K. Hughes",,
13,2,0,0,18,98,"Customer Service Liaisonin' by

 Larry Buchanan
 and Mike Weiner",,
13,2,0,0,19,98,"Systems Programming by

 Vana Baker, Ed Critchlow,
 Dan Foy, J. Mark Hood,
 Brian K. Hughes, Ken Koch,
 Jack Magne, Terry McHenry,
 Martin Peters, Larry Scott,
 Christopher Smith, and Mark Wilden",,
13,2,0,0,20,98,"Special Thanks To:

 Bob Ballew, Donovan Holmes,
 Jeff & Jon Martin, Rick Spurgeon,
 Nathan Gams, Alan Mandel,
 and the Freddy Pharkas Beta Testers",,
13,2,0,0,21,98,"If you're not enjoying FREDDY PHARKAS, FRONTIER PHARMACIST, you will no doubt also dislike Al Lowe's other groundbreaking comedy adventure games:",,
13,2,0,0,22,98,"|c0|Leisure Suit Larry  in the Land of the Lounge Lizards,|c| |c1|Leisure Suit Larry 2:  Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),|c| |c2|Leisure Suit Larry 3:  Passionate Patti in Pursuit of the Pulsating Pectorals,|c| |c0|Leisure Suit Larry 5:  Passionate Patti Does a Little Undercover Work,|c| and |c3|Leisure Suit Larry 6:  Shape Up or Slip Out!|c|",,
13,2,0,0,23,98,"These and all the other fine Sierra products (including the handy six-pack  of FREDDY PHARKAS, FRONTIER PHARMACIST), are available from Sierra.  See your Game Manual.",,
13,2,0,0,24,98,Hints are available on our 24-hour Automated Hint Line. See your Game Manual.,,
13,2,0,0,25,98,Hint Books may be purchased from our Sales Department.  See your Game Manual.,,
13,2,0,0,26,98,"Our Customer Support people can help you with your technical problems, disk replacements, etc. See your Game Manual.",,
13,2,0,0,27,98,"This half-hour infomercial has been brought to you by Screw Loose Amusements, the Freddy Pharkas team. Now back to the game, already in progress.",,
15,53,4,0,1,99,"You scrape the clay off and discard it, leaving you with a gleaming silver ear! Beautifully done! With an ear like this, you could (dare I say it) RULE THE WORLD! Nyah-ha-ha-ha!",,
15,53,1,0,1,99,"Your ""ear mold"" (yuch!) is now filled with the melted silver from your award medallion. (Y'know, they're NOT going to send Srini another medallion!)",,
15,0,6,0,1,99,Those two just don't go together.,,
15,39,4,0,1,99,"You try tearing open a sack with your bare hands, but in the never-ending battle of Man vs. Burlap, you lose.",,
15,39,1,0,1,99,"You intended to order one sack of baking soda. Owing to an administrative error, you are now the proud possessor of one hundred forty-four sacks of baking soda... and the superhuman strength required to carry it around. How gross!",,
15,30,35,0,1,99,"With muscles bulging from years of grappling with childproof caps, you deftly wield the church key and wrench the tops from all the beer bottles.",,
15,30,4,0,1,99,"Sorry, Mr. Anheuser only recently developed the bottle-cap. Mr. Busch hasn't begun to think about the twist-off tops yet!",,
15,30,1,0,1,99,"This is your case of Loebrau, ""The Beer that Gave St. Louis Blues."" All 24 bottles are tightly stoppered with those newfangled metal bottle-caps.",,
15,57,4,0,1,99,You reach inside your old boots and find... the rotting remains of a pair of nasty old Odor Beaters!,,
15,57,1,0,1,99,Sigh. These passenger pigeon-skin boots bring back memories... of the days before Kenny the Kid gave you an ear job.,,
15,51,4,0,1,99,"What are you trying to do, open the bullets? Not a smart endeavor!",,
15,51,1,0,1,99,Tons o' ammo! Hot lead! Hollow-points! Dum-dums!,,
15,41,4,0,1,99,"You try to mold the wax with your bare hands, but the wax is just a bit too stiff to handle. (A feeling not wholly unfamiliar to you!)",,
15,41,44,0,1,99,"With your newly-acquired whittlin' skills, you carve the candle wax into the shape of an ear, one that should theoretically attach snugly to the remains of your original ear. But now look at the gunk on Willy's knife!",,
15,41,44,0,2,99,I'll toss this knife over here where Willy might find it. He'll probably think he dropped it here!,,
15,41,44,0,3,99,Yeah. Sure.,,
15,41,1,0,1,99,"This puddle of candle wax from the Church is suitable for chewing, but it tends to lose that ""Churchy"" flavor after only a couple of minutes!",,
15,4,4,0,1,99,"You search for something inside the charcoal, but there's nothing to be found.",,
15,4,1,0,1,99,You swiped this handful of charcoal from the blacksmith's forge. (Remember to wash your hands when you're finished playing the game!),,
15,33,4,0,1,99,The Church key is solid and heavy and refuses to bend.,,
15,33,1,0,1,99,"Nobody will miss this key to the Church, since the Church is never locked anyway.  But doesn't it have an unusual shape?",,
15,56,4,0,1,99,"You turn the claim check over, searching for a locker combination, but there's nothing written on the other side.",,
15,56,1,0,1,99,"It's a tattered, well-worn claim check, nearly brown with age.",,
15,52,4,0,1,99,"You try to shape the clay, but you're no sculptor. (Maybe you should take up whittling instead!)",,
15,52,1,0,1,99,Who would steal a handful of clay from a gravesite? If you only had some eye of newt and tongue of bat...,,
15,50,4,0,1,99,"You poke around in the gun cleaning kit, but you find nothing useful.",,
15,50,4,0,2,99,Hey! Maybe a fella could use this for cleanin' guns?!,,
15,50,4,0,3,99,Duh!,,
15,50,1,0,1,99,"Sheriff Shift's was so nice to ""give"" you his gun-cleaning kit. He may be a low-down, evil, corrupt, two-timin' no-good varmint, but he's got the cleanest pistol in town... or so says Madame Ovaree!",,
15,55,4,0,1,99,"You search through the clothes and see your pants, your jacket, your gun belt, and your hat. All are in apparently still in good condition!",,
15,55,1,0,1,99,"These are your old ex-gunslinging clothes, including your ""Good Guy Model""  hat! (Mr. Pharkas's Wardrobe by Festus Lauren of Cheyenne.)",,
15,49,4,0,1,99,Only a logger stirs his coffee with his thumb.,,
15,49,1,0,1,99,"Mmm, there's nothing like a steaming hot cuppa joe from Mom's Cafe, brewed from mountain-grown beans from the steep-sloped hills of Jamaica! Much better than those shoddy trench-grown coffee beans from the shallow-sloped ditches of Peoria!",,
15,11,4,0,1,99,"You turn the prescription over, looking for a hint of some sort, but there's nothing to see on the other side.",,
15,11,1,0,1,99,"You study Madame Ovaree's prescription, fully amended and corrected by Doc Gillespie: ""Madame Ovaree, Estrosterane, 1 paper each morning after.""",,
15,11,1,0,2,98,"""Madame Ovaree, Estrosterane, 1 paper each morning after.""",,
15,27,4,0,1,99,You dip your finger into the deflatulizer and lick it off. Mmmm!  Aminophyllic Citrate really hits the spot!,,
15,27,1,0,1,99,"Taa-daa, your latest invention: Equine Deflatulizer, an exclusive blend of secret ingredients guaranteed to neutralize noxious methane emissions from the lower gastro-intestinal tract of Equus caballus. In other words, it's Gastroentrological- Veterinarian-In-A-Drum!",,
15,45,4,0,1,99,"You turn the key over carefully, but it reveals nothing new.",,
15,45,1,0,1,99,"This is the key to your safe deposit box, pried from the cold, rigid fingers of your dead pal Phil.",,
15,9,4,0,1,99,"You attempt to do that key-bending routine you used to know when you were a kid, but somehow you've lost your touch.",,
15,9,1,0,1,99,This is the key to your roll-top desk.,,
15,47,4,0,1,99,The door key's got a nice heft to it!,,
15,47,1,0,1,99,Hey. This looks just like the key to the front door of my pharmacy!,,
15,66,4,0,1,99,"You open the bottle and take a long, deep whiff. The cilia lining your nose curl up and fall out, your sinuses start to drain, your eyes begin to water, and your face turns red. Say, this stuff is REALLY effective!",,
15,66,1,0,1,99,"Dad Gumm's Magic Elixir is ""Positively guaranteed to cure myopia, melancholia, the vapors, congestion, consumption, malaria, piles, shingles, rickets, leprosy, bubonic plague, gout, bursitis, arthritis, and the galloping cruds. 190 proof."" Obviously, ""Truth in Advertising"" is still years in the future!",,
15,32,4,0,1,99,"You cleverly shove your finger into a bottle and get it stuck there. You manage to twist it out, but not before popping a half-dozen knuckles. Next stop, Arthritis City!",,
15,32,1,0,1,99,"Now that the snails have been eradicated, you're left with a lot of empty beer bottles. Unfortunately, the California Bottle Redemption Act won't be made into law for another 100 years. (After all, that bill was only introduced five years ago!)",,
15,68,4,0,1,99,"You gingerly examine the clay ""negative"" mold.",,
15,68,4,0,2,99,"(TO SELF) Pretty decent piece of craftsmanship, even if you do say so yourself!",,
15,68,1,0,1,99,It's an empty clay mold of an ear.,,
15,64,4,0,1,99,Don't open it! You'll release its precious contents (and probably kill a few locals!).,,
15,64,1,0,1,99,It's a bagful of something which does NOT meet California Emissions Standards!,,
15,65,4,0,1,99,"You peek inside the bag. Nope, nothing in there yet!",,
15,65,1,0,1,99,"Chester Field's sturdy brown paper bags are suitable for penny candy, two-penny nails, and half-pint containers of Danny's Sourmash-Flavored Yogurt (the kind with the whisky on the bottom!).",,
15,26,4,0,1,99,You adjust the leather strap just so.,,
15,26,1,0,1,99,Congratulations on making this homemade gas mask. Devilishly good work!,,
15,67,4,0,1,99,You're unwilling to touch it any more than necessary.,,
15,67,1,0,1,99,"How can we put this delicately? It's a fragrant, freshly-baked, road apple.",,
15,24,4,0,1,99,You touch the ice pick to your finger. That thing's sharp! And MEAN!,,
15,24,1,0,1,99,You swiped the town ice pick from out back o' the saloon. (Now no one will be able to pick their teeth!),,
15,70,4,0,1,99,You can't get it open! Damn these childproof tins!,,
15,70,1,0,1,99,"You hope you got this prescription right! (After all, pharmacology is an art, not an exact science!)",,
15,71,4,0,1,99,,,
15,71,1,0,1,99,,,
15,14,7,0,1,98,"Click here to change your cursor into a Hand, then click the Hand on one of the Inventory objects to do something to it.",,
15,15,7,0,1,98,"Click here to change your cursor into a Question Mark, then pass the Question Mark over the other icons to learn how they work.",,
15,16,7,0,1,98,"Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.",,
15,17,7,0,1,98,Click here to close this Inventory window and return to the game.,,
15,43,7,0,1,98,Click here to see more Inventory objects. ,,
15,18,7,0,1,98,"To use an Inventory item, click here to change your cursor into an Arrow, then click the Arrow on the item you wish to use. The Arrow will change into that item. You may then click the item on other Inventory objects or on ""OK"" to use that item in the game.",,
15,42,4,0,1,99,You close the knife and open it again. Smooth. Silent. Deadly. (Stolen.),,
15,42,1,0,1,99,These Confederate Army pen knife replicas are becoming quite popular among the more sophisticated whittlers.,,
15,34,4,0,1,99,You make sure the ladder's rungs are nice and tight. (A feeling not wholly unfamiliar to Doc Gillespie!),,
15,34,1,0,1,99,"What sort of cad would steal a ladder from the school playground? (Oh, you would!)",,
15,36,4,0,1,99,You have no reason to untie your adroitly-constructed lasso!,,
15,36,1,0,1,99,I never met a lasso I didn't like!,,
15,25,4,0,1,99,"You test the leather strap. Wow, it IS durable!",,
15,25,1,0,1,99,A rugged leather strap... your mind reels with the possibilities!,,
15,62,4,0,1,99,"You turn the paper over, looking for a return address or something, but there isn't one.",,
15,62,1,0,1,99,"You received this letter a few years back from your recently dearly-departed friend, Phil Graves:",,
15,62,1,0,2,99,"""Dear Freddy,
Thank you so very kindly for your recent gracious hospitality during my recent convalescence. The floor of your workroom proved a comfortable bed, and the stale Pharmacy goods you fed me staved off starvation quite adequately.",,
15,62,1,0,3,99,"""I must admit to being a little curious of your request that I retain your safety-deposit key for you; I cannot imagine what you have secured in that bank vault that could create such strong feelings of both revulsion and endearment.",,
