חדר,שם,פועל,תנאי,רצף,דובר,מקור,תרגום,הערות
0,23,68,0,1,97,"The ABOUT button will display information about ""Gabriel Knight: Sins of the Fathers.""",,
0,29,0,2,1,97,GK Team,,
0,29,0,8,1,97,"Gabriel Knight development team:
  Designer/Director:  Jane Jensen
  Producer/Composer:  Robert Holmes
  Lead Programmer:  Tom DeSalvo
  Programmers:
     Bob Andrew, Sean Mooney,
     Greg Tomko-Pavia, Jerry Shaw
  Illustration Director:  John Shroades
  Animation Director:  Michael Hutchison
  Backgrounds/Illustrations:
     Darlou Gams, John Shroades,
     Chris Willis, Deanna Yhalkee
  Animation:
     Michael Hutchison, Chris Willis,
     Deanna Yhalkee, Darlou Gams,
     John Shroades",,
0,29,0,8,2,97,"  Text & Dialogue:  Jane Jensen,
     Bridget McKenna
  Lead QA:  Judy Crites
  QA:  Judy Crites, Matt Genesi,
     John Ratcliffe
  Audio Engineers:  Rick Spurgeon,
     Kelli Spurgeon
  Graphic Arts:  Nathan Gams  ",,
0,29,0,8,3,97,"Hollywood Voice-Over Production (CD only):
  Voice-Over Director:  Stuart M. Rosen
  Associate Producer:  John E. Grayson
  Starring:
   Gabriel Knight:  Tim Curry
   Detective Mosely:  Mark Hamill
   Grace Nakimura:  Leah Remini
   Narrator:  Virginia Capers
   Dr. John:  Michael Dorn
   Malia Gedde:  Leilani Jones
   Wolfgang:  Efrem Zimbalist, Jr.
   Willy Walker:  Rocky Carroll",,
0,29,0,8,4,97,"   Madame Cazaunoux:  Susan Silo
   Crash:  Chris Lytton
   Desk Sergeant Frick:  Jim Cummings
   Gerde:  Mary Kay Bergman
   Grandma Knight: Linda Gary
   Hartridge:  Monte Markham
   Magentia Moonbeam:  Nancy Lenehan
   Stonewall King:  Monte Markham
   Toussaint Gervais:  Dorian Harewood    ",,
0,29,0,8,5,97,"Additional Voices:
  Sam:  Jeff Bennett
  Markus:  Monte Markham
  Tetelo:  Linda Gary
  Little boy, Old lady:  Mary Kay Bergman
  Blues band leader, Cajun band leader,
    Jazz band leader, Muscle man,
    Dragon, Gunter:  Jim Cummings
  Technical Artist, Bruno,
    Uniformed Officer, Lucky Dog Vendor,
    Motorcycle Cop:  Jeff Bennett
  Priest, Phone Guy #5, Beignet Vendor:
    Stuart M. Rosen
  Gedde Butler:  Tim Curry
  Jeep Driver:  Mark Hamill",,
0,29,0,8,6,97,"Additional Sierra-Online Production:
  Brand Manager:  Sherry Short,
    Dan Rogers
  Sound Effects:  Chris Braymen,
    Robert Holmes, Orpheus Hanley,
    Rick Spurgeon
  Music Conversions:  Neal Grandstaff,
    Jay Usher, Chris Braymen
  Additional Art:  Terry Falls,
    Gloria Garland
  Additional QA:  Robin Bradley,
    Dave Clingman, Susan Frischer
  Director of Technology:  Bill Crow
  System Technologists:  Dan Foy,
    Brian K. Hughes, Larry Scott,
    Chris Smith, Mark Wilden
  Systems Programmers:  Ed Critchlow,
    Ken Kock, Terry McHenry,
    Martin Peters",,
0,29,0,8,7,97,"Additional Sierra-Online Production:
  ""The Making of Gabriel Knight"":  Written,
    directed, and produced by:  Bill Crow
  Photography:  Bob Ballew
  Manual Writer:  Jane Jensen
  Manual Designers:  Nathan Gams,
    Maria Fruehe
  Customer Service:  Debbie Catania
  Video Capture Actors:  Dave Artis,
    Dana Dean, Max Deardorff,
    Terry Falls, Robert Lindsley,
    Mark Parker, Lorelei Shannon,
    Ayesha Tidwell, Mike Weiner,
    Karin Young",,
0,29,0,8,8,97,"QA Configuration:
    Team Lead:  Dave Clingman
    Jon Meek, Daryle Smith,
    Roger Clendenning, Lynne Dayton,
    Doug Wheeler, John Trauger,
    Leonard Salas, Ken Eaton,
    Sharon Simmons, Mike Jones,
    Catie Andrews
Special Thanks:
    Woodholly Productions,
    Dan Kehler, Stuart Moulder,
    Sabine Duvall, Mark Hood,
    Jim Thomas, Bil Skirvin",,
