"חדר","שם","פועל","תנאי","רצף","דובר","מקור","תרגום","הערות","ריפוד","False"
"0.0","23.0","68.0","0.0","1.0","97.0","The ABOUT button will display information about ""Gabriel Knight: Sins of the Fathers.""","הכפתור אודות מציג מידע על ""גבריאל נייט: עוון אבות.""","","00000000","False"
"0.0","29.0","0.0","2.0","1.0","97.0","GK Team","צוות גבריאל נייט","","00000000","False"
"0.0","29.0","0.0","8.0","1.0","97.0","GABRIEL KNIGHT: SINS OF THE FATHERS
This entire work Copyright (c) 1993
Sierra On-Line, Inc.
Contains technologies described in U.S.
patent applications including 598,172
and 658,297.

DOS/4GW Professional Protected Mode
Run-Time
Copyright (c) Rational Systems, Inc. 1990-1993

Data Compression Software
Copyright (c) 1988-92 Stac Electronics.
U.S. patents including #5,016,009.
Other patents pending.","גבריאל נייט: עוון אבות
כל הזכויות למכלול היצירה שמורות (c) 1993
לסיירה אונליין, בע""מ
מכיל טכנלוגיות המתוארות
במשרד הפטנטים האמריקאי ביניהם
658,297,598,172

DOS/4GW מצב מוגן מקצועי
זמן ריצה
כל הזכויות שמורות (c) למערכות הגיוניות, בע""מ 1990-1993

תוכנת דחיסת נתונים
כל הזכויות שמורות (c) לסטאק אלקטרוניקה.
פטנטים רשומים כוללים #5,016,009.
שאר הפנטנטים תלויים.","","00000000","False"
"0.0","29.0","0.0","8.0","2.0","97.0","Gabriel Knight development team:
  Designer/Director:  Jane Jensen
  Producer/Composer:  Robert Holmes
  Lead Programmer:  Tom DeSalvo
  Programmers:
     Bob Andrews, Sean Mooney,
     Greg Tomko-Pavia, Jerry Shaw
  Illustration Director:  John Shroades
  Animation Director:  Michael Hutchison
  Backgrounds/Illustrations:
     Darlou Gams, John Shroades,
     Chris Willis, Deanna Yhalkee
  Animation:
     Michael Hutchison, Chris Willis,
     Deanna Yhalkee, Darlou Gams,
     John Shroades","צוות פיתוח גבריאל נייט:
  Designer/Director:  Jane Jensen
  Producer/Composer:  Robert Holmes
  Lead Programmer:  Tom DeSalvo
  Programmers:
     Bob Andrews, Sean Mooney,
     Greg Tomko-Pavia, Jerry Shaw
  Illustration Director:  John Shroades
  Animation Director:  Michael Hutchison
  Backgrounds/Illustrations:
     Darlou Gams, John Shroades,
     Chris Willis, Deanna Yhalkee
  Animation:
     Michael Hutchison, Chris Willis,
     Deanna Yhalkee, Darlou Gams,
     John Shroades","","00000000","False"
"0.0","29.0","0.0","8.0","3.0","97.0","  Text & Dialogue:  Jane Jensen,
     Bridget McKenna
  3D Rendering & Animation:
     Michael Hutchison
  Lead QA:  Judy Crites
  QA:  Judy Crites, Matt Genesi,
     John Ratcliffe
  Audio Engineers:  Rick Spurgeon,
     Kelli Spurgeon
  Graphic Arts:  Nathan Gams  ","  Text & Dialogue:  Jane Jensen,
     Bridget McKenna
  3D Rendering & Animation:
     Michael Hutchison
  Lead QA:  Judy Crites
  QA:  Judy Crites, Matt Genesi,
     John Ratcliffe
  Audio Engineers:  Rick Spurgeon,
     Kelli Spurgeon
  Graphic Arts:  Nathan Gams  ","","00000000","False"
"0.0","29.0","0.0","8.0","4.0","97.0","Hollywood Voice-Over Production (CD only):
  Voice-Over Director:  Stuart M. Rosen
  Associate Producer:  John E. Grayson
  Starring:
   Gabriel Knight:  Tim Curry
   Detective Mosely:  Mark Hamill
   Grace Nakimura:  Leah Remini
   Narrator:  Virginia Capers
   Dr. John:  Michael Dorn
   Malia Gedde:  Leilani Jones
   Wolfgang:  Efrem Zimbalist, Jr.
   Willy Walker:  Rocky Carroll","הוליווד קריינות הפקות (CD בלבד)
  Voice-Over Director:  Stuart M. Rosen
  Associate Producer:  John E. Grayson
  Starring:
   Gabriel Knight:  Tim Curry
   Detective Mosely:  Mark Hamill
   Grace Nakimura:  Leah Remini
   Narrator:  Virginia Capers
   Dr. John:  Michael Dorn
   Malia Gedde:  Leilani Jones
   Wolfgang:  Efrem Zimbalist, Jr.
   Willy Walker:  Rocky Carroll","","00000000","False"
"0.0","29.0","0.0","8.0","5.0","97.0","   Madame Cazaunoux:  Susan Silo
   Crash:  Chris Lytton
   Desk Sergeant Frick:  Jim Cummings
   Gerde:  Mary Kay Bergman
   Grandma Knight: Linda Gary
   Hartridge:  Monte Markham
   Magentia Moonbeam:  Nancy Lenehan
   Stonewall King:  Monte Markham
   Toussaint Gervais:  Dorian Harewood    ","   Madame Cazaunoux:  Susan Silo
   Crash:  Chris Lytton
   Desk Sergeant Frick:  Jim Cummings
   Gerde:  Mary Kay Bergman
   Grandma Knight: Linda Gary
   Hartridge:  Monte Markham
   Magentia Moonbeam:  Nancy Lenehan
   Stonewall King:  Monte Markham
   Toussaint Gervais:  Dorian Harewood    ","","00000000","False"
"0.0","29.0","0.0","8.0","6.0","97.0","Additional Voices:
  Sam:  Jeff Bennett
  Markus:  Monte Markham
  Tetelo:  Linda Gary
  Little boy, Old lady:  Mary Kay Bergman
  Blues band leader, Cajun band leader,
    Jazz band leader, Muscle man,
    Dragon, Gunter:  Jim Cummings
  Technical Artist, Bruno,
    Uniformed Officer, Lucky Dog Vendor,
    Motorcycle Cop:  Jeff Bennett
  Priest, Phone Guy #5, Beignet Vendor:
    Stuart M. Rosen
  Gedde Butler:  Tim Curry
  Jeep Driver:  Mark Hamill","קולות נוספים:
  Sam:  Jeff Bennett
  Markus:  Monte Markham
  Tetelo:  Linda Gary
  Little boy, Old lady:  Mary Kay Bergman
  Blues band leader, Cajun band leader,
    Jazz band leader, Muscle man,
    Dragon, Gunter:  Jim Cummings
  Technical Artist, Bruno,
    Uniformed Officer, Lucky Dog Vendor,
    Motorcycle Cop:  Jeff Bennett
  Priest, Phone Guy #5, Beignet Vendor:
    Stuart M. Rosen
  Gedde Butler:  Tim Curry
  Jeep Driver:  Mark Hamill","","00000000","False"
"0.0","29.0","0.0","8.0","7.0","97.0","Additional Sierra-Online Production:
  Brand Manager:  Sherry Short,
    Dan Rogers
  Sound Effects:  Chris Braymen,
    Robert Holmes, Orpheus Hanley,
    Rick Spurgeon, Mark Seibert
  Music Conversions:  Neal Grandstaff,
    Jay Usher, Chris Braymen
  Additional Art:  Terry Falls,
    Gloria Garland
  Additional QA:  Robin Bradley,
    Dave Clingman, Susan Frischer
  Director of Technology:  Bill Crow
  System Technologists:  Dan Foy,
    Brian K. Hughes, Larry Scott,
    Chris Smith, Mark Wilden
  Systems Programmers:  Ed Critchlow,
    Ken Koch, Terry McHenry,
    Martin Peters","סיירה אונליין הפקות נוספות:
  Brand Manager:  Sherry Short,
    Dan Rogers
  Sound Effects:  Chris Braymen,
    Robert Holmes, Orpheus Hanley,
    Rick Spurgeon, Mark Seibert
  Music Conversions:  Neal Grandstaff,
    Jay Usher, Chris Braymen
  Additional Art:  Terry Falls,
    Gloria Garland
  Additional QA:  Robin Bradley,
    Dave Clingman, Susan Frischer
  Director of Technology:  Bill Crow
  System Technologists:  Dan Foy,
    Brian K. Hughes, Larry Scott,
    Chris Smith, Mark Wilden
  Systems Programmers:  Ed Critchlow,
    Ken Koch, Terry McHenry,
    Martin Peters","","00000000","False"
"0.0","29.0","0.0","8.0","8.0","97.0","Additional Sierra-Online Production:
  ""The Making of Gabriel Knight"":  Written,
    directed, and produced by:  Bill Crow
  Video & Photography:  Bob Ballew
  Manual Writer:  Jane Jensen
  Manual Designers:  Nathan Gams,
    Maria Fruehe
  Customer Service:  Debbie Catania
  Video Capture Actors:  Dave Artis,
    Dana Dean, Max Deardorff,
    Terry Falls, Robert Lindsley,
    Mark Parker, Lorelei Shannon,
    Ayesha Tidwell, Mike Weiner,
    Karin Young","סיירה אונליין הפקות נוספות:
  ""The Making of Gabriel Knight"":  Written,
    directed, and produced by:  Bill Crow
  Video & Photography:  Bob Ballew
  Manual Writer:  Jane Jensen
  Manual Designers:  Nathan Gams,
    Maria Fruehe
  Customer Service:  Debbie Catania
  Video Capture Actors:  Dave Artis,
    Dana Dean, Max Deardorff,
    Terry Falls, Robert Lindsley,
    Mark Parker, Lorelei Shannon,
    Ayesha Tidwell, Mike Weiner,
    Karin Young","","00000000","False"
