"קובץ","אינדקס","מקור","תרגום","הערות"
"billiard.sc","0.0","gloria","גלוריה",""
"billiard.sc","1.0","clarence","קלארנס",""
"celiBrea.sc","0.0","celie","סילי",""
"celiBrea.sc","1.0","lillian","ליליאן",""
"celiBrea.sc","2.0","celie","סילי",""
"celiBrea.sc","3.0","lillian","ליליאן",""
"celiBrea.sc","4.0","jeeves","ג'יבס",""
"celirock.sc","0.0","celie","סילי",""
"celiWash.sc","0.0","celie","סילי",""
"ClarAct1.sc","0.0","ClarAct1","ClarAct1",""
"ClarAct1.sc","1.0","ClarAct1","ClarAct1",""
"clardrink.sc","0.0","clarence","קלארנס",""
"ClarSit.sc","0.0","clarence","קלארנס",""
"clarwand.sc","0.0","clarence","קלארנס",""
"Class_255_0.sc","0.0","PrintD","PrintD",""
"Class_255_0.sc","1.0","","",""
"Class_255_0.sc","2.0","M","M",""
"Class_255_0.sc","3.0","M","M",""
"Class_255_0.sc","4.0","M","M",""
"Class_255_0.sc","5.0","Enter input","הזינו קלט",""
"ColoAct1.sc","0.0","ColoAct1","ColoAct1",""
"ColoAct1.sc","1.0","ColoAct1","ColoAct1",""
"cololill.sc","0.0","colonel","קולונל",""
"cololill.sc","1.0","lillian","ליליאן",""
"coloroom.sc","0.0","colonel","קולונל",""
"crArgue.sc","0.0","rudy","רודי",""
"crArgue.sc","1.0","clarence","קלארנס",""
"crArgue.sc","2.0","rudy","רודי",""
"crArgue.sc","3.0","clarence","קלארנס",""
"dusting.sc","0.0","fifi","פיפי",""
"ElevGate.sc","0.0","up","למעלה",""
"ElevGate.sc","1.0","down","למטה",""
"ElevGate.sc","2.0","ARE","",""
"ElevGate.sc","3.0","AREN'T","",""
"ElevGate.sc","4.0","push","דוחפת",""
"ElevGate.sc","5.0","pull","מושכת",""
"EthelDrunk.sc","0.0","ethel","את'ל",""
"FifiAct1.sc","0.0","FifiAct1","FifiAct1",""
"FifiAct1.sc","1.0","FifiAct1","FifiAct1",""
"fifiprim.sc","0.0","fifi","פיפי",""
"FirstTimeCk.sc","0.0","______Yes______","______כן______",""
"FirstTimeCk.sc","1.0","_______No_______","_______לא_______",""
"Game.sc","0.0","SAVE GAME","שמירת משחק",""
"Game.sc","1.0","GAME","משחק",""
"Game.sc","2.0","OK","בסדר",""
"Game.sc","3.0","Cancel","ביטול",""
"Game.sc","4.0","Change Directory","החלפת תיקייה",""
"Game.sc","5.0","OK","בסדר",""
"Game.sc","6.0","OK","בסדר",""
"Game.sc","7.0","OK","בסדר",""
"Game.sc","8.0","Free Heap: %u Bytes\nLargest ptr: %u Bytes\nFreeHunk: %u KBytes\nLargest hunk: %u Bytes","Free Heap: %u Bytes\nLargest ptr: %u Bytes\nFreeHunk: %u KBytes\nLargest hunk: %u Bytes",""
"GertieClarArgue.sc","0.0","gertie","גרטי",""
"GertieClarArgue.sc","1.0","clarence","קלארנס",""
"grargue.sc","0.0","rudy","רודי",""
"grargue.sc","1.0","gloria","גלוריה",""
"InvI.sc","0.0","","",""
"InvI.sc","1.0","You are carrying nothing!","את לא סוחבת כלום!",""
"InvI.sc","2.0","OK","בסדר",""
"kissact3.sc","0.0","fifi","פיפי",""
"kisscolo.sc","0.0","colonel","קולונל",""
"leargue.sc","0.0","lillian","ליליאן",""
"leargue.sc","1.0","ethel","את'ל",""
"leargue.sc","2.0","lillian","ליליאן",""
"LillAct2.sc","0.0","LillAct2","LillAct2",""
"LillAct2.sc","1.0","LillAct2","LillAct2",""
"lillGun.sc","0.0","lillian","ליליאן",""
"Main.sc","0.0","__Restore__","__טעינה__",""
"Main.sc","1.0","__Restart__","__התחלה מחדש__",""
"Main.sc","2.0","___Quit___","___יציאה___",""
"Main.sc","3.0","Look_","הביטי_",""
"Main.sc","4.0","1.000.046","1.000.046",""
"Main.sc","5.0","Turn Off","כיבוי",""
"Main.sc","6.0","Turn On","הדלקה",""
"Main.sc","7.0","necklace_","שרשרת_","מכאן עד סוף main.sc זה ה inventory"
"Main.sc","8.0","monocle_","משקף_",""
"Main.sc","9.0","lantern_","עששית_",""
"Main.sc","10.0","oilcan_","פך שמן_",""
"Main.sc","11.0","rolling pin_","מערוך_",""
"Main.sc","12.0","skeleton key_","מפתח ראשי_",""
"Main.sc","13.0","poker_","מוט-גחלים_",""
"Main.sc","14.0","crowbar_","לום_",""
"Main.sc","15.0","cigar butt_","בדל סיגר_",""
"Main.sc","16.0","broken record_","תקליט שבור_",""
"Main.sc","17.0","notebook & pencil_","פנקס ועפרון_",""
"Main.sc","18.0","7 crackers________","7 קרקרים________",""
"Main.sc","19.0","soup bone_","עצם מרק_",""
"Main.sc","20.0","valve handle_","ידית_",""
"Main.sc","21.0","bullet_","קליע_",""
"Main.sc","22.0","derringer__","אקדח_",""
"Main.sc","23.0","matches_","גפרורים_",""
"Main.sc","24.0","carrot_","גזר_",""
"Main.sc","25.0","brass key_","מפתח נחושת_",""
"Main.sc","26.0","diary_","יומן_",""
"Main.sc","27.0","crank_","ארכובה_",""
"Main.sc","28.0","cane_","מקל_",""
"Main.sc","29.0","pouch_","ארנק_",""
"Main.sc","30.0","handkerchief_","מטפחת_",""
"Mgert.sc","0.0","Mgert","Mgert",""
"Mgert.sc","1.0","Mgert","Mgert",""
"rm99.sc","0.0","zz","zz",""
"Room10.sc","0.0","door","דלת",""
"Room10.sc","1.0","window","חלון",""
"Room10.sc","2.0","window","חלון",""
"Room10.sc","3.0","window","חלון",""
"Room12.sc","0.0","door","דלת",""
"Room12.sc","1.0","window","חלון",""
"Room15.sc","0.0","door","דלת",""
"Room15.sc","1.0","window","חלון",""
"Room15.sc","2.0","window","חלון",""
"Room15.sc","3.0","window","חלון",""
"Room16.sc","0.0","window","חלון",""
"Room16.sc","1.0","window","חלון",""
"Room17.sc","0.0","door","דלת",""
"Room17.sc","1.0","window","חלון",""
"Room17.sc","2.0","window","חלון",""
"Room17.sc","3.0","window","חלון",""
"Room17.sc","4.0","window","חלון",""
"Room21.sc","0.0","door","דלת",""
"Room21.sc","1.0","house","בית",""
"Room22.sc","0.0","house","בית",""
"Room23.sc","0.0","house","בית",""
"Room24.sc","0.0","clarence","קלארנס",""
"Room25.sc","0.0","owl","ינשוף",""
"Room28.sc","0.0","house","בית",""
"Room31.sc","0.0",",",",",""
"Room31.sc","1.0",", a pearl-handled dagger,",", פגיון משובץ פנינים,",""
"Room31.sc","2.0","fireplace","אח",""
"Room31.sc","3.0","chair","כיסא",""
"Room31.sc","4.0","chair","כיסא",""
"Room31.sc","5.0","chair","כיסא",""
"Room31.sc","6.0","table","שולחן",""
"Room31.sc","7.0","table","שולחן",""
"Room31.sc","8.0","lamp","מנורה",""
"Room31.sc","9.0","lamp","מנורה",""
"Room31.sc","10.0","window","חלון",""
"Room31.sc","11.0","window","חלון",""
"Room31.sc","12.0","door","דלת",""
"Room31.sc","13.0","door","דלת",""
"Room32.sc","0.0","mantel","אדן",""
"Room32.sc","1.0","chair","כיסא",""
"Room32.sc","2.0","chair","כיסא",""
"Room32.sc","3.0","chair","כיסא",""
"Room32.sc","4.0","chair","כיסא",""
"Room32.sc","5.0","chair","כיסא",""
"Room32.sc","6.0","chair","כיסא",""
"Room32.sc","7.0","couch","כורסה",""
"Room32.sc","8.0","couch","כורסה",""
"Room32.sc","9.0","fire","אש",""
"Room32.sc","10.0","lamp","מנורה",""
"Room32.sc","11.0","lamp","מנורה",""
"Room32.sc","12.0","elevator","מעלית",""
"Room32.sc","13.0","mirror","מראה",""
"Room33.sc","0.0","table","שולחן",""
"Room33.sc","1.0","table","שולחן",""
"Room33.sc","2.0","door","דלת",""
"Room33.sc","3.0","door","דלת",""
"Room33.sc","4.0","lamp","מנורה",""
"Room33.sc","5.0","lamp","מנורה",""
"Room34.sc","0.0","chair","כיסא",""
"Room34.sc","1.0","chair","כיסא",""
"Room34.sc","2.0","chair","כיסא",""
"Room34.sc","3.0","chair","כיסא",""
"Room34.sc","4.0","chair","כיסא",""
"Room34.sc","5.0","chair","כיסא",""
"Room34.sc","6.0","chair","כיסא",""
"Room34.sc","7.0","chair","כיסא",""
"Room34.sc","8.0","chair","כיסא",""
"Room34.sc","9.0","chair","כיסא",""
"Room34.sc","10.0","chair","כיסא",""
"Room34.sc","11.0","chair","כיסא",""
"Room34.sc","12.0","fire","אש",""
"Room34.sc","13.0","lamp","מנורה",""
"Room35.sc","0.0","lamp","מנורה",""
"Room35.sc","1.0","lamp","מנורה",""
"Room35.sc","2.0","door","דלת",""
"Room35.sc","3.0","door","דלת",""
"Room35.sc","4.0","window","חלון",""
"Room35.sc","5.0","window","חלון",""
"Room36.sc","0.0","couch","כורסה",""
"Room36.sc","1.0","couch","כורסה",""
"Room36.sc","2.0","table","שולחן",""
"Room36.sc","3.0","chair","כיסא",""
"Room36.sc","4.0","chair","כיסא",""
"Room36.sc","5.0","table","שולחן",""
"Room36.sc","6.0","door","דלת",""
"Room36.sc","7.0","door","דלת",""
"Room36.sc","8.0","lamp","מנורה",""
"Room36.sc","9.0","lamp","מנורה",""
"Room37.sc","0.0","table","שולחן",""
"Room37.sc","1.0","table","שולחן",""
"Room37.sc","2.0","lamp","מנורה",""
"Room37.sc","3.0","lamp","מנורה",""
"Room37.sc","4.0","carpet","שטיח",""
"Room37.sc","5.0","sofa","ספה",""
"Room38.sc","0.0","table","שולחן",""
"Room38.sc","1.0","horse","סוס",""
"Room38.sc","2.0","sofa","ספה",""
"Room38.sc","3.0","sofa","ספה",""
"Room38.sc","4.0","chair","כיסא",""
"Room38.sc","5.0","table","שולחן",""
"Room38.sc","6.0","chair","כיסא",""
"Room38.sc","7.0","chair","כיסא",""
"Room38.sc","8.0","table","שולחן",""
"Room38.sc","9.0","chair","כיסא",""
"Room38.sc","10.0","couch","כורסה",""
"Room38.sc","11.0","chair","כיסא",""
"Room38.sc","12.0","chair","כיסא",""
"Room38.sc","13.0","lamp","מנורה",""
"Room38.sc","14.0","lamp","מנורה",""
"Room41.sc","0.0","chair","כיסא",""
"Room41.sc","1.0","chair","כיסא",""
