"room","idx","original","translated","comments"
"0","0","","",""
"0","1","The Colonel's Bequest","עזבונו של הקולונל",""
"0","2","%s","",""
"0","3","empty cracker box","קופסת קרקרים ריקה",""
"0","4","%u%s","",""
"0","5"," cracker ","קרקר",""
"0","6"," crackers ","קרקרים",""
"0","7","loaded gun ","אקדח טעון",""
"0","8","derringer  ","אקדח דרינג'ר",""
"0","9","You're not close enough.","את לא קרובה מספיק.",""
"0","10","You already took it.","כבר לקחת את זה.",""
"0","11","It is already open.","זה כבר פתוח.",""
"0","12","It is already closed.","זה כבר סגור.",""
"0","13","You see nothing special.","את לא רואה שום דבר מיוחד.",""
"0","14","You can't do that.","את לא יכולה לעשות את זה.",""
"0","15","You don't have it.","אין לך את זה.",""
"0","16","You don't see it here.","את לא רואה את זה כאן.",""
"0","17","Okay.","בסדר.",""
"0","18","It is very difficult to talk to two people at once.","זה מאוד מסובך לדבר עם שני אנשים בו זמנית.",""
"1","0","A weather-beaten dock extends from the island's edge out into the alligator-infested bayou. Toward the center of the island you can see the old plantation house.","רציף שחוק נמתח מקצהו של האי אל עבר הביצה שורצת התנינים. בקרבת מרכז האי את רואה את בית האחוזה הישן.",""
"1","1","You could never lift those heavy crates!","לעולם לא תצליחי להרים את התיבות הכבדות האלה!",""
"1","2","There is nothing you would want in these old crates.","אין שום דבר שהיית רוצה בתוך התיבות הישנות.",""
"1","3","All you see under the dock is swamp water.","כל שאת רואה מתחת לרציף הוא מי ביצה.",""
"1","4","Old crates are piled at the end of the dock.","תיבות ישנות נערמו בקצה הרציף.",""
"1","5","The thick muck was too much for you.","הבוץ הסמיך היה יותר מדי עבורך.",""
"1","6","Many frogs and turtles live in the bayou.","הרבה צפרדעים וצבים חיים בביצה.",""
"1","7","You have better things to do than to worry about the little swamp creatures.","יש לך דברים טובים יותר לעשות מלדאוג לגבי יצורי ביצה קטנים.",""
"1","8","This isn't King's Quest!","כאן זה לא מסע המלך!",""
"1","9","What do you think this is...King's Quest?!","מה את חושבת שזה... מסע המלך?!",""
"1","10","You'd have to catch them first.","תצטרכי לתפוס אותם קודם.",""
"1","11","Vicious 'gators inhabit the swamp surrounding the island.","תנינים אכזריים שוכנים בביצה שסובבת את האי.",""
"1","12","These alligators prefer fresh meat. Heh, heh.","התנינים האלה מעדיפים בשר טרי. חה, חה.",""
"1","13","You MUST be kidding!","את צוחקת!",""
"1","14","You can't be SERIOUS!","את לא באמת רצינית!",""
"1","15","'Gators don't talk!","תנינים לא יכולים לדבר!",""
"1","16","Be reasonable!!","תהיי הגיונית!!",""
"1","17","You couldn't hurt a big 'gator.","את לא תצליחי לפגוע בתנין גדול.",""
"2","0","This is an old, family graveyard behind the little chapel. Set among the various family graves and monuments, you notice two large tombs.","זהו בית קברות משפחתי ישן הניצב מאחורי הכנסייה הקטנה. את מבחינה בשני קברים גדולים בין מגוון המצבות והאנדרטות.",""
"2","1","You must enter the tomb to do that.","עלייך להיכנס לקבר כדי לעשות זאת.",""
"2","2","The tomb door is sealed. You can't enter it.","הדלת של הקבר אטומה. את לא יכולה להיכנס.",""
"2","3","The tomb door isn't locked.","הדלת של הקבר אינה נעולה.",""
"2","4","There is no keyhole, or handle, to the tomb door. It is sealed from the inside.","אין חור מנעול, או ידית, לדלת של הקבר. היא אטומה מבפנים.",""
"2","5","The tomb door is firmly sealed. No matter what you do, you cannot open it.","הדלת של הקבר אטומה בחוזקה. לא משנה מה תעשי, לא תצליחי לפתוח אותה.",""
"2","6","One tomb has the name DIJON carved over the door and CROUTON has been inscribed over the door of the other.","השם 'דיז'ון' חרוט מעל דלתו של קבר אחד ו'קרוטון' רשום מעל הדלת של השני.",""
"2","7","Each gravestone is dedicated to a member of the Crouton family.","כל אחת מהמצבות מוקדשת לבן משפחת קרוטון.",""
"2","8","A path leads to the chapel from the cemetery.","שביל מוביל מהכנסייה לעבר בית הקברות.",""
"2","9","You don't really believe in ghosts, do you?!","את לא באמת מאמינה ברוחות רפאים, נכון?!",""
"2","10","You see several graves and monuments on the ground.","את רואה כמה קברים ואנדרטות על הקרקע.",""
