"words","class","group","rooms","comments"
"examine | inspect | investigate | look | הביטי | חקרי | בחני | הסתכלי | ראי | בדקי","IMPERATIVE_VERB","1000.0","in 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 012, 013, 014, 015, 016, 017, 018, 020, 021, 022, 023, 024, 025, 026, 027, 028, 029, 030, 031, 032, 033, 034, 035, 036, 037, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 055, 056, 057, 058, 059, 061, 063, 065, 069, 073, 074, 075, 076, 201, 202, 203, 204, 205, 206, 207, 211, 212, 213, 217, 220, 224, 229, 230, 231, 232, 233, 235, 236, 237, 238, 239, 240, 241, 242, 244, 245, 246, 256, 257, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 272, 273, 274, 276, 277, 278, 279, 280, 281, 282, 290, 378, 379, 380, 381, 382, 383, 385, 402, 403, 405, 407, 410, 413",""
"around | סביב | סביבות | באזור | ברחבי | מסביב","PREPOSITION","217.0","in 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 012, 013, 014, 015, 016, 017, 018, 020, 021, 022, 023, 024, 025, 026, 027, 028, 029, 030, 031, 032, 033, 035, 036, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 055, 056, 057, 058, 059, 061, 063, 065, 069, 073, 074, 075, 076, 205",""
"room | חדר","NOUN","2130.0","in 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 012, 013, 014, 015, 016, 017, 018, 020, 021, 022, 023, 024, 025, 026, 027, 028, 029, 030, 031, 032, 033, 035, 036, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 055, 056, 057, 058, 059, 061, 063, 065, 069, 073, 074, 075, 076, 205, 206",""
"at | ב | אצל","PREPOSITION","202.0","in 001, 002, 003, 004, 005, 006, 008, 009, 010, 012, 013, 014, 015, 016, 017, 018, 020, 021, 022, 023, 024, 025, 026, 027, 028, 029, 030, 031, 032, 033, 034, 035, 036, 037, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 055, 056, 057, 058, 059, 061, 063, 065, 069, 073, 074, 075, 076, 205, 224, 246, 260, 261, 410",""
"acquire | carry | get | grab | grasp | obtain | pick | take | השיגי | קחי | אספי | טלי | אחזי | קבלי | שאי | הרימי","IMPERATIVE_VERB","1002.0","in 001, 002, 003, 004, 005, 006, 008, 009, 012, 013, 014, 016, 020, 022, 023, 025, 026, 028, 029, 031, 032, 034, 035, 036, 037, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 055, 057, 058, 059, 061, 063, 065, 069, 073, 074, 075, 076, 201, 202, 204, 205, 213, 217, 220, 224, 229, 230, 231, 232, 233, 235, 236, 237, 238, 239, 240, 241, 246, 256, 257, 259, 261, 263, 265, 266, 268, 269, 270, 272, 273, 274, 276, 277, 278, 279, 280, 282, 378, 379, 380, 381, 382, 385, 402, 403, 407, 410",""
"move | הזיזי | הניעי | העבירי","IMPERATIVE_VERB","1010.0","in 001, 002, 003, 004, 005, 013, 016, 020, 022, 023, 031, 032, 033, 036, 037, 038, 041, 042, 043, 044, 045, 046, 048, 049, 050, 052, 053, 057, 058, 059, 061, 065, 069, 074, 075, 076, 201, 224, 229, 231, 235, 239, 240, 256, 263, 268, 273, 277, 278, 280, 407",""
"in | inside | into | ב | בתוך | בפנים | לתוך | אל תוך","PREPOSITION","206.0","in 001, 002, 003, 005, 006, 009, 012, 013, 014, 018, 020, 023, 024, 028, 031, 032, 033, 034, 035, 036, 037, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 052, 053, 057, 058, 059, 061, 065, 069, 073, 074, 075, 076, 201, 205, 206, 213, 235, 246, 256, 263, 268, 273, 276, 278, 280, 290, 407, 410",""
"capture | catch | לכדי | תפסי","IMPERATIVE_VERB","1007.0","in 001, 002, 003, 006, 008, 014, 020, 025, 029, 038, 051, 052, 055",""
"converse | hello | hi | speak | talk | שוחחי | הי | היי | שלום | הלו | דברי","IMPERATIVE_VERB","1008.0","in 001, 002, 006, 008, 016, 024, 025, 029, 038, 045, 069, 073, 074, 202, 203, 204, 217, 220, 224, 229, 230, 231, 232, 233, 235, 236, 237, 238, 239, 240, 241, 244, 245, 246, 256, 257, 259, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 272, 273, 274, 276, 277, 278, 279, 280, 281, 282, 290, 378, 379, 380, 381, 382, 383, 385, 402, 403, 407",""
"open | פתחי | פתוח | פתוחה","PREPOSITION | IMPERATIVE_VERB","1021.0","in 001, 002, 006, 009, 012, 013, 014, 018, 020, 022, 023, 026, 031, 032, 033, 034, 035, 036, 037, 038, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 057, 058, 059, 061, 063, 064, 065, 069, 073, 074, 075, 076, 201, 206, 207, 246, 276, 407, 410",""
