"חדר","אינדקס","מקור","תרגום","הערות"
"0.0","1.0","\n      Police Quest\n\n   in Pursuit of the\n      Death Angel\n\n      by Jim Walls\n\n  Ver 2.0G     12/3/87   \n","",""
"0.0","2.0","On the back of your hand?","על גב ידך?","נ: על גב ידך (בלי כף, שזה הצד השני)"
"0.0","3.0","You can't write with a radio!","אתה לא יכול לכתוב עם רדיו!",""
"0.0","4.0","You see nothing special.","אתה לא רואה שום דבר מיוחד.",""
"0.0","5.0","How can you do that?","איך אתה יכול לעשות את זה?",""
"0.0","6.0","Using what?","באמצעות מה?",""
"0.0","7.0","%m8it.","%m8 את זה.",""
"0.0","8.0","You don't need ","אתה לא צריך ",""
"0.0","9.0","Just do that yourself.","עשה זאת בעצמך.",""
"0.0","10.0","What would you do with it?","מה תעשה עם זה?",""
"0.0","11.0"," key is documented in%m17 Please refer to it for proper usage."," תועד ב%m17 נא לעיין שם לשם שימוש נאות.",""
"0.0","12.0","","","זו לא טעות, אכן שורה ריקה"
"0.0","13.0","call","","כמדומני שצריך לא לתרגם את זה"
"0.0","14.0"," ","","זו לא טעות, יש פה רווח בודד"
"0.0","15.0","Note: ","הערה: ",""
"0.0","16.0","Once you tasted it, you wouldn't want it!","טעמת, נגעלת!",""
"0.0","17.0"," your ""LPD Policeman's Indoctrination Guide."""," ""ספר ההדרכה של משטרת לייטון.""","צ. זה לא 'תעמולה'. יותר כמו בד""ח, מי שמכיר.
אבל אני חושב שבדח מילה לא מוכרת...
אולי פשוט 'מדריך'?
'ספר השוטר'?
אולי 'ספר ההדרכה של משטרת לייטון'?
צ: סבבה"
"0.0","18.0","You shouldn't have done that!","לא היית צריך לעשות את זה!",""
"0.0","19.0","It's more valuable to you as it is!","הוא יביא לך יותר תועלת במצבו הנוכחי!",""
"0.0","20.0","Please refer to%m17","נא לעיין ב%m17",""
"0.0","21.0","%m8to close it.","%m8לסגור את זה.",""
"0.0","22.0","%m87 Please review proper gun handling procedures in%m17","%m87 נא לעיין בנהלי אחזקת האקדח ב%m17","צ. תרגום לא מדויק. זה משהו בסגנון:
""נא לעיין בנהלי אחזקת האקדח ב%m17"".
למרות שגם 'אחזקת' לא מתאים 100%...
זה תגובה לנסיון לשלוף אקדח סתם, כשלא צריך.
תוקן
צ: לא עדיף 'האקדח'?"
