"room","idx","original","translated","comments"
"0","0","You talk to yourself and, as usual, learn nothing that you didn't already know.","אתה מדבר אל עצמך, וכרגיל, לא לומד משהו שלא ידעת כבר.",""
"0","1","Hey! One shouldn't attempt to manipulate one's self in a family game.","היי! אתה לא אמור להתעסק עם עצמך במשחק לכל המשפחה.",""
"0","2","Better not. You're likely to get a fur ball.","מוטב שלא. אתה צפוי לבלוע כדור פרווה.",""
"0","3","The odor you're producing causes you to regret skipping last month's shower.","הניחוח שאתה מפיק גורם לך להתחרט על שדילגת על המקלחת החודשית.",""
"0","4","You're too busy right now.","אתה עסוק מדי עכשיו.",""
"0","5","Better save it for when you're thirsty.","עדיף לשמור את זה לרגעים שתהיה צמא.",""
"0","6","You don't want to do that here.","אתה לא רוצה לעשות את זה כאן.",""
"0","7","You wisely strap on the jetpack to allow your self motion control.","אתה חוגר בתבונתך את תרמיל הריחוף כדי לאפשר לך בקרת תנועה עצמית.",""
"0","8","The jetpack is useful only in Zero-G situations.","תרמיל הריחוף יעיל רק במצבי אפס כבידה.",""
"0","9","Don't bother. This knife wouldn't cut hot lard.","אל תטרח. הסכין לא חותכת שומן רותח.",""
"0","10","Isn't this just the most amazing waste of time?","האין זה בזבוז הזמן המדהים ביותר בעולם?",""
"0","11","You have to wonder why you're performing such a useless action.","עליך לשאול את עצמך מדוע הינך מבצע פעולות כל כך חסרות תועלת.",""
"0","12","You wisely decide this is a serious waste of time and energy.","אתה מחליט בחוכמה שמדובר בבזבוז משווע של זמן ואנרגיה.",""
"0","13","You ask yourself why you're doing this and are forced to reply that you just don't know.","אתה שואל את עצמך למה אתה עושה זה ועצמך עונה לך שאין לו מושג.",""
"0","14","Even for you, this isn't bright.","אפילו במונחים שלך, זה לא רעיון מבריק.",""
"0","15","Thank you for playing Space Quest I. You've been most entertaining.","תודה ששיחקתם מסע בחלל 1. בידרתם אותנו כמו שצריך.",""
"0","16","""Are you sure you want to restart?""","""בטוח שרוצים להתחיל מחדש?""",""
"0","17","Memory fragmented.","קטעי זכרונות.",""
"0","18","What did you expect them to do, reproduce?","מה ציפית מהם לעשות, להתרבות?",""
"0","19","You're far too busy for that now.","אתה עסוק מדי בשביל זה עכשיו.",""
"0","20","You switch the gadget off to conserve its energy.","אתה מכבה את הגאדג'ט כדי לחסוך באנרגיה.",""
"0","21","You switch the gadget on.","אתה מפעיל את הגאדג'ט.",""
"0","22","You're far to busy for that now.","אתה עסוק מדי בשביל זה עכשיו.",""
"0","23","You scrape that sticky goo from the bottom of the rock.","אתה מגרד את העיסה הדביקה מתחתית הסלע.",""
"0","24","There is nothing you can do to the rock.","אין לך מה לעשות לסלע.",""
"0","25","You've already opened the survival kit and removed its contents.","כבר פתחת את ערכת ההישרדות ורוקנת את תכולתה.",""
