"filename","idx","original","translation","הערות","",""
"Game.sc","0.0","SAVE GAME","שמור משחק","","",""
"Game.sc","1.0","GAME","משחק","","",""
"Game.sc","2.0","OK","בסדר","","",""
"Game.sc","3.0","Cancel","ביטול","","",""
"Game.sc","4.0","Change Directory","שנה סיפריה","","",""
"Game.sc","5.0","OK","בסדר","","",""
"Game.sc","6.0","OK","בסדר","","",""
"Game.sc","7.0","OK","בסדר","","",""
"Gauge.sc","0.0","up","למעלה","","",""
"Gauge.sc","1.0","down","למטה","","",""
"Gauge.sc","2.0","OK","בסדר","","",""
"Gauge.sc","3.0","Normal","רגיל","","",""
"Gauge.sc","4.0","Cancel","ביטול","","",""
"InvI.sc","0.0","You are carrying:","אתה סוחב:","","",""
"InvI.sc","1.0","You are carrying nothing!","אינך סוחב דבר!","","",""
"InvI.sc","2.0","OK","בסדר","","",""
"Main.sc","0.0","Space Quest \0B","מסע בחלל \0B","","",""
"Main.sc","1.0","Space Quest \0B","מסע בחלל \0B","","",""
"Main.sc","4.0","Deceleration Trauma","טראומת האטה פתאומית","מכאן ולמטה, סוגי מיתות משונות","",""
"Main.sc","5.0","It wouldn't be so bad, except for the sudden stop at the end.__Next time, don't get so close to the edge.","זה לא היה כל כך נורא, חוץ מהעצירה הפתאומית בסוף.__בפעם הבאה, תשתדל להתרחק מהקצה.","","",""
"Main.sc","6.0","New, Improved Quick Tanning Method","שיטת שיזוף מהירה חדשה ומשודרגת","","",""
"Main.sc","7.0","You never did care for fondue.__Next time, don't get so close to the edge.","אף פעם לא השתגעת על גבינה מותכת.__בפעם הבאה, תשתדל לשמור מרחק מהקצה.","","",""
"Main.sc","8.0","Rats!","לכל החולדות!","ארי: על משקל ""לכל הרוחות""
צביקה: ממש יפה! ראיתי שזה נשאר לא מתורגם, שאלתי את עצמי מה עושים עם זה...","",""
"Main.sc","9.0","You may not be Purina Rat Chow, but you'll do!","אתה אולי לא מעדן החולדות הכי טעים שיש, אבל אתה תתמודד!","","",""
"Main.sc","10.0","It Slices, It Dices...","זה פורס, זה הורס...","","",""
"Main.sc","11.0","You're a less-than-choice cut, Wilco!","אתה החתיכה הכי פחות מובחרת, ווילקו!","","",""
"Main.sc","12.0","Decompression Blues","בלוז לתת-לחץ","","",""
"Main.sc","13.0","Sudden Decompression Sucks!","","צביקה: אין פה בעיה, רק הדגשתי חורים, שלא נפספס","",""
"Main.sc","14.0","A Slimmer, Trimmer You!","אתה בגיזרה דקה וחתוכה יותר!","","",""
"Main.sc","15.0","A quick, but painful, way to shed those extra inches.","דרך מהירה, אך כואבת להשלת הקילוגרמים העודפים.","","",""
"Main.sc","16.0","Learn to Drive That Thing!","תלמד לנהוג על הדבר הזה!","","",""
"Main.sc","17.0","Your radar is designed to avoid just such an occurrence.","הרדאר שלך תוכנן להתחמקות בדיוק ממקרים שכאלה.","","",""
"Main.sc","18.0","One Way to Lower Your Blood Pressure.","עוד דרך להורדת לחץ הדם.","","",""
