"room","idx","original","translated","comments",""
"000","0","Score: %d of %d%13s%s%1s"," ניקוד: %d מתוך %d%13s%s%1s","",""
"000","1","","","",""
"000","2","Memory fragmented.","הזכרון מפוצל.","",""
"000","3","OK.","בסדר.","",""
"000","4","This isn't a text adventure!","זו אינה הרפתקת טקסט!","",""
"000","5","OK, you wear the belt.","בסדר, אתה חוגר את החגורה.","",""
"000","6","You're already wearing it.","אתה כבר חוגר אותה.","",""
"000","7","First, you need to wear it.","קודם עליך לחגור אותה.","",""
"000","8","The belt is now completely out of power.","החגורה כעת מרוקנת מכוח לגמרי.","",""
"000","9","Looking at the belt, you notice that the power supply is very low. You decide to hold off until you really need it.","כאשר אתה מתבונן בחגורה, אתה שם לב שלא נשאר בה עוד הרבה כוח. אתה מחליט להשתמש בה רק כשבאמת תצטרך.","",""
"000","10","You're already wearing them.","אתה כבר לובש אותם.","",""
"000","11","Not a good idea, considering your location.","זהו אינו רעיון טוב בהתחשב במיקום שלך.","",""
"000","12","You decide to leave the ring in the relative safety of your pocket.","אתה מחליט להשאיר את הטבעת בתוככי הכיס הבטוח למדי שלך.","",""
"000","13","I'll get naked if you get naked. You go first.","אני אתפשט אם אתה תתפשט. אתה ראשון.","",""
"000","14","On second thought, it looks pretty silly.  Let's not.","במחשבה שניה, זה נראה די מטופש. בוא לא.","",""
"000","15","It's on the end of your pole.","זה בקצה המוט שלך.","",""
"000","16","Look out, it's low on power.","שים לב, נשאר לו מעט מאד כוח.","",""
"000","17","The terminator's invisibility belt is now completely out of power.","חגורת ההיעלמות של המחסל כעת מרוקנת מכוח לגמרי.","",""
"000","18","You don't have one of those.","אין לך אחד כזה.","",""
"000","19","Forget it. Think of something else.","שכח מזה. חשוב על משהו אחר.","",""
"000","20","That doesn't seem to be available.","זה לא זמין.","",""
"000","21","You already have it.","כבר יש לך את זה.","",""
"000","22","You smell nothing of note.","אתה לא מריח שום דבר חשוד.","",""
"000","23","Keep it to yourself.","שמור את זה לעצמך.","",""
"000","24","You can't","אתה לא יכול.","",""
"000","25","Not now.","לא עכשו.","",""
"000","26","Sorry. We don't do running.","סליחה. אנחנו לא רצים.","",""
"000","27","Hey, trashmouth! Don't be saying that shit!","בנזונה מי שמקלל!","מוגזם? - ארי",""
"000","28","Hey! What kind of talk is that?","היי! איזה מין דיבור זה?","",""
"000","29","%d/%d","","",""
"000","30","curRoomNum = %d","","",""
"000","31","Try another word. Apparently, ""%s"" isn't in the Andromedan dictionary.","תנסה מילה אחרת. מתברר ש""%s"" לא נמצאת במילון בני אנדרומדה.","",""
"000","32","Do me a favor and try rephrasing that thought.","תעשה לי טובה, ותנסה לנסח מחדש את מחשבותיך.","",""
"000","33","Pardon me. This program is too stupid to glean your desire from such a wonderfully crafted sentence. Please try something else.","סלח לי. תוכנה זו טפשה מכדי להבין את רצונך ממשפט מנוסח כה היטב. אנא נסה משהו אחר.","",""
"000","34","You possess %d of these nifty monetary units known as `Buckazoids'.","יש ברשותך %d מהיחידות המוניטאריות המגניבות האלה, הידועות בתור 'זוזואידים'.","מציע לתרגם Buckazoid כ-""זוזואיד"" - ארי","הצעה נהדרת לדעתי, אפשר לשקול גם כמוזוז - ניב"
"000","35","It's not quite within reach.","זה לא בדיוק בהישג ידך.","",""
"000","36","You've accomplished that task.","ביצעת משימה זו.","",""
"000","37","You see nothing special.","אתה לא רואה משהו מיוחד.","",""
"000","38","That's not possible now.","זה בלתי אפשרי עכשו.","",""
"000","39","You don't have it.","אין לך את זה.","",""
"001","0","","","",""
"001","1","The pod, considered to be nothing more
than another piece of scrap, is taken
aboard a robot commanded garbage
freighter. Unfortunately these robots
have no regard for organics.","החללית הקטנה, שנחשבה כלא יותר מאשר גרוטאת מתכת חסרת חשיבות, הועלתה לסיפון ספינת זבל רובוטית. לרוע המזל אותם רובוטים לא נודעו ביחסם החם כלפי יצורים אורגניים...","צ: הגהתי",""
"002","0","Check again! It IS closed.","בדוק שנית! היא סגורה.","",""
"002","1","This task is impossible since the door is sealed from the inside and there is no light emanating from within.","זאת משימה בלתי אפשרית משום שהדלת נעולה מבפנים ושום אור לא בוקע משם.","",""
"002","2","The window is clear enough to reveal the blackness inside.","החלון נקי מספיק בשביל לחשוף את החשיכה שבפנים.","",""
"002","3","The solidly built door looks to be locked in place.","הדלת המוצקה למראה נעולה על מנעול ובריח.","",""
"002","4","The pod's thrusters are very small, designed for minimal attitude adjustments. They have been cold for a long time.","מנועי החללית קטנים מאד, מתוכננים לכיוונונים עדינים. נראה שהם כבר התקררו מזמן.","",""
