file-noun-verb-condition-sequence-,file,noun,verb,condition,sequence,talker,padding,text,translation,comment_padding,comment_text
0.msg-1-5-0-1-,0.msg,1,5,0,1,99,00000001,Press this button for information about Space Quest 5. ,לחצו על מקש זה לקבלת מידע על מסע בחלל 5.,,
0.msg-1-1-0-1-,0.msg,1,1,0,1,99,00000001,Space Quest 5: The Next Mutation Version: %s ,מסע בחלל 5: המוטציה הבאה גרסה: %s ,,
0.msg-1-1-0-2-,0.msg,1,1,0,2,99,00000001,"If you think SPACE QUEST 5: The Next Mutation is a real hoot, you ought to check out some of Roger Wilco's other spaced out adventures. Read the ''Technobable'' at the start of the game for ordering information.","אם נהניתם מאד ממסע בחלל 5: המוטציה הבאה, כדאי לכם לבדוק עוד כמה מהרפתקאות החלל של רוג'ר ווילקו. קראו את ""הפרטים הטכניים היבשים"" בתחילת המשחק לקבלת מידע נוסף.",,
0.msg-0-24-0-1-,0.msg,0,24,0,1,99,00000001,Your attempts to take command of the situation do not meet with success.,נסיונותיך לקחת פיקוד על הסיטואציה לא עלו יפה.,,
0.msg-0-7-0-1-,0.msg,0,7,0,1,99,00000001,Those items won't work together. ,חפצים אלו אינם עובדים יחד.,,
0.msg-0-7-0-2-,0.msg,0,7,0,2,99,00000001,That's an interesting idea. ,זה רעיון מעניין.,,
0.msg-0-7-0-3-,0.msg,0,7,0,3,99,00000001,That's not necessary.  ,זה לא הכרחי.,,
0.msg-0-4-0-1-,0.msg,0,4,0,1,99,00000001,That will not be of any help. ,זה לא יעזור בכלום.,,
0.msg-0-4-0-2-,0.msg,0,4,0,2,99,00000001,Not here.,לא כאן.,,
0.msg-0-2-0-1-,0.msg,0,2,0,1,99,00000001,It's not unlike talking to a brick wall.,אין זה שונה מלדבר עם קיר לבנים.,,
0.msg-0-2-0-2-,0.msg,0,2,0,2,99,00000001,And just what do you expect it to say to you?,ומה בדיוק ציפית שהוא יגיד?,,
0.msg-2-5-0-1-,0.msg,2,5,0,1,99,00000001,Use this icon to give an order to your crew.,השתמשו בצלמית זו כדי לחלק פקודות לצוות.,,
0.msg-3-5-0-1-,0.msg,3,5,0,1,99,00000001,"Select this icon to adjust the game's sound, detail level, Roger's movement speed, or to save, restore, or quit a game.   ","בחרו בצלמית זו על מנת לכוונן את הקול במשחק, רמת הפירוט, מהירות התנועה של רוג'ר, או לשמור, לטעון, ולצאת מהמשחק.",,
0.msg-4-5-0-1-,0.msg,4,5,0,1,99,00000001,This is Roger's currently selected inventory item.  ,זה פריט המלאי שנבחר כרגע על ידי רוג'ר.,,
0.msg-5-5-0-1-,0.msg,5,5,0,1,99,00000001,Use this to reduce animation and speed-up play if the game is running too slow on your machine.,השתמשו בזה לשנמוך רמת ההנפשה וההאצה במידה והמשחק פועל באיטיות רבה מדי על המחשב שלכם.,,
0.msg-6-5-0-1-,0.msg,6,5,0,1,99,00000001,Select this icon to manipulate objects or to pick up items.    ,בחרו בצלמית זו כדי לתפעל עצמים או להרים חפצים.,,
0.msg-7-5-0-1-,0.msg,7,5,0,1,99,00000001,This is the help icon. Move this over other icons to see what they do.,זוהי צלמית העזרה. רחפו איתה מעל צלמיות אחרות כדי ללמוד על פעולתן.,,
0.msg-8-1-0-1-,0.msg,8,1,0,1,99,00000001,Play New Game,משחק חדש,,
0.msg-8-1-0-2-,0.msg,8,1,0,2,99,00000001,Restore Old Game,טעינת משחק,,
0.msg-8-1-0-3-,0.msg,8,1,0,3,99,00000001,Quit,יציאה,,
0.msg-8-1-0-4-,0.msg,8,1,0,4,99,00000001,|f5|Space Quest 5:,|f5| מסע בחלל 5:,,
0.msg-8-1-0-5-,0.msg,8,1,0,5,99,00000001,|f5|The Next Mutation,|f5| המוטציה הבאה,,
0.msg-8-1-0-6-,0.msg,8,1,0,6,99,00000001,See Introduction,צפו בהקדמה,,
0.msg-8-1-0-7-,0.msg,8,1,0,7,99,00000001,Read Technobabble,קראו פרטים טכניים יבשים,,
0.msg-9-5-0-1-,0.msg,9,5,0,1,99,00000001,Use this icon to manipulate an inventory item.,השתמשו בצלמית זו לתפעול פריטי המלאי.,,
0.msg-10-5-0-1-,0.msg,10,5,0,1,99,00000001,Click on this to see the items in your inventory.,הקישו על זה כדי לראות את הפריטים שבמלאי.,,
0.msg-11-5-0-1-,0.msg,11,5,0,1,99,00000001,This the help icon. Move it over other icons to see what they do. ,זוהי צלמית העזרה. רחפו איתה מעל צלמיות אחרות כדי ללמוד על פעולתן.,,
0.msg-12-5-0-1-,0.msg,12,5,0,1,99,00000001,Use this icon to select one of the inventory items.,השתמשו בצלמית זו כדי לבחור באחד מפריטי המלאי.,,
0.msg-13-5-0-1-,0.msg,13,5,0,1,99,00000001,Use this icon to get a closer look and description of an inventory item.,השתמשו בצלמית זו לבחינה מקרוב ולקבלת תיאור מדוקדק על פריטים מהמלאי.,,
0.msg-14-5-0-1-,0.msg,14,5,0,1,99,00000001,Use this icon when you are ready to return to the game.,השתמשו בצלמית זו כאשר אתם מרגישים מוכנים לחזור לשחק.,,
0.msg-15-5-0-1-,0.msg,15,5,0,1,99,00000001,Use this icon to select one of the available inventory items.,השתמשו בצלמית זו כדי לבחור באחד מפריטי המלאי הזמינים.,,
0.msg-16-5-0-1-,0.msg,16,5,0,1,99,00000001,Use this icon to examine things in the area.  ,השתמשו בצלמית זו לבחינת החפצים בסביבה.,,
0.msg-17-5-0-1-,0.msg,17,5,0,1,99,00000001,Return to the game. ,חזרה למשחק.,,
0.msg-18-0-1-1-,0.msg,18,0,1,1,99,00000001,OUT OF,מתוך,,
0.msg-19-5-0-1-,0.msg,19,5,0,1,99,00000001,Use this icon to quit the game.,השתמשו בצלמית זו ליציאה מהמשחק.,,
0.msg-19-1-0-1-,0.msg,19,1,0,1,99,00000001,Are You Sure?,אתם בטוחים?,,
0.msg-19-1-0-2-,0.msg,19,1,0,2,99,00000001,YES,כן,,
0.msg-19-1-0-3-,0.msg,19,1,0,3,99,00000001,NO,לא,,
0.msg-19-1-0-4-,0.msg,19,1,0,4,99,00000001,"Thank You for Playing:

  |f5|Space Quest 5: 

The Next Mutation","תודה ששיחקתם:

מסע בחלל 5:

המוטציה הבאה",,
0.msg-20-5-0-1-,0.msg,20,5,0,1,99,00000001,Start the game at the beginning.,התחלת משחק מחדש.,,
0.msg-20-1-0-1-,0.msg,20,1,0,1,99,00000001,Are you sure you want to restart?,אתם רוצים לאתחל בוודאות?,,
0.msg-20-1-0-2-,0.msg,20,1,0,2,99,00000001,Yes,כן,,
0.msg-20-1-0-3-,0.msg,20,1,0,3,99,00000001,No,לא,,
0.msg-21-5-0-1-,0.msg,21,5,0,1,99,00000001,Restore a game.  ,טעינת משחק.,,
0.msg-30-1-0-1-,0.msg,30,1,0,1,99,00000001,"Looks like there's a fly in the ointment, and that fly is you.","נראה שיש זבוב במרק, והזבוב הזה הוא אתה.",,
0.msg-30-1-0-2-,0.msg,30,1,0,2,99,00000001,"You've been mistaken for a household pest before, but this is getting a bit ridiculous.","כבר נחשבת בעבר בטעות למזיק בלתי רצוי, אבל זה מתחיל להיות מגוחך.",,
0.msg-22-0-0-1-,0.msg,22,0,0,1,99,00000001,That's not something you need to do.,זה לא משהו שאתה אמור לעשות.,,
0.msg-22-0-0-2-,0.msg,22,0,0,2,99,00000001,Just exactly where did you think that would fit? ,לאיפה בדיוק אתה חושב שזה יתאים?,,
0.msg-22-0-0-3-,0.msg,22,0,0,3,99,00000001,Not now. ,לא עכשיו.,,
0.msg-22-17-0-1-,0.msg,22,17,0,1,99,00000001,"Money doesn't matter tonight, Rog.","כסף לא חשוב הלילה, רוג'.",,
0.msg-22-24-0-1-,0.msg,22,24,0,1,99,00000001,"Trying to order yourself around? Pretty weird, if you ask me. But then, hey, what do I know? I'm just the narrator.","מנסה לתת לעצמך פקודות ריקות? די מוזר, אם אתה שואל אותי. אבל, הי, מה אני יודע? אני רק הקריין.",,
0.msg-22-32-0-1-,0.msg,22,32,0,1,99,00000001,That's not necessary now.,זה לא נחוץ כרגע.,,
0.msg-22-7-0-1-,0.msg,22,7,0,1,99,00000001,What?,מה?,,
0.msg-22-19-0-1-,0.msg,22,19,0,1,99,00000001,Don't be ridiculous.,אל תהיה מגוחך.,,
0.msg-22-4-0-1-,0.msg,22,4,0,1,99,00000001,You tug at your clothing to achieve a slightly more comfortable fit.,אתה מושך בבגדיך כדי להשיג התאמה מעט נוחה יותר.,,
0.msg-22-4-0-2-,0.msg,22,4,0,2,99,00000001,Hey cut it out--this is a family game.,הי מספיק עם זה--זה משחק משפחתי.,,
0.msg-22-41-0-1-,0.msg,22,41,0,1,99,00000001,"It's cute, but I don't think it's your color.","זה חמוד, אבל לא הצבע שלך לדעתי.",,
0.msg-22-21-0-1-,0.msg,22,21,0,1,99,00000001,Don't do that. You don't know where it's been. ,אל תעשה את זה. אין לך מושג איפה זה היה.,,
0.msg-22-22-0-1-,0.msg,22,22,0,1,99,00000001,You seem to recall sampling this fruit as a child. It left you constipated for days. You opt not to eat it. ,אתה נזכר שדגמת מהפרי הזה בתור ילד. לאחר מכן סבלת מעצירות במשך ימים. אתה בוחר שלא לאכול אותו.,,
0.msg-22-1-0-1-,0.msg,22,1,0,1,99,00000001,"It's you, Roger Wilco, wacky space guy.","זה אתה, רוג'ר ווילקו, איש חלל מטורלל.",,
0.msg-22-1-0-2-,0.msg,22,1,0,2,99,00000001,"It's you, Roger Wilco, Space hero extraordinaire (cough, cough).  ","זה אתה, רוג'ר ווילקו, גיבור חלל יוצא מן הכלל (שיעול, שיעול).",,
0.msg-22-39-0-1-,0.msg,22,39,0,1,99,00000001,The mask is only effective for a limited time. Don't use it unless you really need it.,המסיכה אפקטיבית לזמן מוגבל בלבד. אל תשתמש בה כל עוד אתה לא באמת צריך.,,
0.msg-22-25-0-1-,0.msg,22,25,0,1,99,00000001,Not bloody likely. ,אין סיכוי בעולם.,,
0.msg-22-20-0-1-,0.msg,22,20,0,1,99,00000001,And just what do you think you're going to do with them? Wear the cones like a day-glo dunce cap? ,ומה בדיוק אתה חושב שאתה הולך לעשות איתם? לחבוש את החרוטים כמו כובע טמבל עם נצנצים?,,
0.msg-22-18-0-1-,0.msg,22,18,0,1,99,00000001,"Although your personal hygiene could stand improvement, that certainly isn't the way to go about it.","למרות שבהיגיינה האישית שלך יש בהחלט מקום לשיפור, זו בפירוש לא הדרך לעשות את זה.",,
0.msg-22-2-0-1-,0.msg,22,2,0,1,99,00000001,You can't understand what you're saying.,קרוב לודאי שאתה לא מבין מה אתה אומר.,,
0.msg-22-2-0-2-,0.msg,22,2,0,2,99,00000001,Talking to yourself isn't helpful.,שיחות עם עצמך אינן מועילות.,,
0.msg-23-5-0-1-,0.msg,23,5,0,1,99,00000001,Save your current game.,שמירת משחק נוכחי.,,
0.msg-24-5-0-1-,0.msg,24,5,0,1,99,00000001,Use this to adjust the sound level.,השתמש בזה לכוונון רמת הצליל.,,
0.msg-25-5-0-1-,0.msg,25,5,0,1,99,00000001,Use this to control the speed of Roger's movement. ,השתמש בזה לשליטה על מהירות תנועתו של רוג'ר.,,
0.msg-29-0-0-1-,0.msg,29,0,0,1,99,00000001,SPACE QUEST 5: The Next Mutation                     Score:,מסע בחלל 5: המוטציה הבאה                     ניקוד:,,
0.msg-26-5-0-1-,0.msg,26,5,0,1,99,00000001,Select this icon to talk with other people in the area.  ,בחר בצלמית זו לשיחה עם אנשים בסביבתך.,,
0.msg-27-0-0-1-,0.msg,27,0,0,1,99,00000001,Welcome to Space Quest V. Choose one of the following:,ברוך הבא למסע בחלל 5. בחר אחת מהאפשרויות הבאות:,,
0.msg-28-5-0-1-,0.msg,28,5,0,1,99,00000001,Use this icon to move Roger around.  ,השתמש בצלמית זו להנעת רוג'ר ממקום למקום.,,
1.msg-1-1-0-1-,1.msg,1,1,0,1,99,00000001,"It's you, Roger Wilco, a wacky, spaced-out adventurer.","זה אתה, רוג'ר ווילקו, הרפתקן על-חלל תמהוני.",,
1.msg-1-2-0-1-,1.msg,1,2,0,1,99,00000001,You can't understand what you're saying.,אתה לא מבין מה אתה אומר.,,
1.msg-1-4-0-1-,1.msg,1,4,0,1,99,00000001,Hey cut it out--this is a family game.,הי צנזר את זה--זה משחק משפחתי.,,
100.msg-1-0-0-1-,100.msg,1,0,0,1,99,00000001,"|c5|Sales Order Information|c|



To place a domestic order with Sierra On-Line, call (800) 326-6654 from 7:00 a.m. through 7:00 p.m. Pacific Time, Monday through Friday, for convenient, person-to-person service; or if you prefer, you may place your order via Fax (209) 683-4297 (Please include your name, address, phone number, credit card number and expiration date).",,,
100.msg-1-0-0-2-,100.msg,1,0,0,2,99,00000001,"To place an international order with our Sierra On-Line U.K. Sales Office, call [0]734-303171 for convenient, person-to-person service, or Fax in your order to [0]734 303201.  You can also place your international order with our U.S. office at (209) 683-4468 or Fax in your order to (209) 683-4297.",,,
100.msg-1-0-0-3-,100.msg,1,0,0,3,99,00000001,"|c5|Hints|c|

 

Game hints are available by phone, hint books (orders available through the Sierra Sales Department), through the Sierra Bulletin Board Service (209-683-4463), or by mail (P.O. Box 200, Coarsegold, CA  93614-0200, Attn: Hint Department).  If you want an immediate response, you can call our 24-hour automated Hint Line at 900-370-5583 in the U.S.  In the U.K., call (0)734 304004.",,,
100.msg-1-0-0-4-,100.msg,1,0,0,4,99,00000001,U.S. users will be charged $.75 per minute.  Long distance charges are included in the fee.  U.K. customers will be charged the normal rate for U.K. telephone calls.  Callers under the age of 18 must get their parent's permission before calling the hint line.  |c1|ABSOLUTELY NO HINTS WILL BE PROVIDED THROUGH OUR CUSTOMER SUPPORT LINES!|c|,,,
100.msg-1-0-0-5-,100.msg,1,0,0,5,99,00000001,"At this time, the automated hint system is only available within the United States.  All contents are copyrighted by Sierra On-Line and may not be reproduced in any form without express written permission.",,,
100.msg-1-0-0-6-,100.msg,1,0,0,6,99,00000001,"|c5|Quick Trouble Shooting Tips|c|

 

1.  Use the Install program to create a Boot Disk, and then use this disk to boot your system and run the game.

",,,
100.msg-1-0-0-7-,100.msg,1,0,0,7,99,00000001,"2.  If you are experiencing any form of program hesitation or lockups during game play and are using a Sound Blaster or compatible sound card, the following information is a temporary solution to have you up and running quickly.",,,
100.msg-1-0-0-8-,100.msg,1,0,0,8,99,00000001,"For Sound Blaster or compatible sound card users, run the install procedure from the game sub-directory and select the ''Adlib'' or ''PC Internal Speaker'' option for music and select ''No Audio/Speech Card'' for speech where applicable. ",,,
100.msg-1-0-0-9-,100.msg,1,0,0,9,99,00000001,"Please Note:  This temporary solution does not give you the option to hear the sampled sounds or the speech that may be available in your game.  For correct sound card functionality, a call to Sierra On-Line's Technical support or your sound card manufacturer's Technical Support is recommended.",,,
